HouseDescription,Address
"
                                                3 Bedroom Townhouse Unit at Bloomfield Heights in Antipolo, Rizal (Inner)
                    ","
                                
                                                                    San Luis, Antipolo
                                                            "
"
                                                71 sqm Townhouse for Sale at Tandang Sora, Q.C. -  Rey Samaniego
                    ","
                                
                                                                    Talipapa, Quezon City
                                                            "
"
                                                3 Bedrooms House and Lot at The BelleCourt in Santa Rosa, Laguna (Regular Unit)
                    ","
                                
                                                                    Balibago, Santa Rosa
                                                            "
"
                                                Townhouse End Unit for Sale in Ajoya Capas, Tarlac - with Special Offer
                    ","
                                
                                                                    Talaga, Capas
                                                            "
"
                                                2 Bedroom House and Lot at Idesia in Dasmariñas, Cavite (Talia)
                    ","
                                
                                                                    San Agustin I, Dasmariñas
                                                            "
"
                                                2 Bedroom House and Lot Unit for sale at Camella Calamba (Bella Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                PENTHOUSE PRIME : 3 Story House, 3 Bedroom Provision, 2 Carport, 2 Bathroom
                    ","
                                
                                                                    Santo Niño, Biñan
                                                            "
"
                                                House and Lot at Manors at Golden Horizon in Trece Martires, Cavite (Cecilia)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                House and Lot at Manors at Golden Horizon in Trece Martires, Cavite (Louisa)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                3 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (Corner)
                    ","
                                
                                                                    San Isidro, Antipolo
                                                            "
"
                                                3 Bedroom House and Lot Unit at Celestis 1 in Antipolo, Rizal (End)
                    ","
                                
                                                                    San Isidro, Antipolo
                                                            "
"
                                                2 Bedroom House and Lot (End Corner) at Phirst Park Homes Calamba 
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                3 Bedroom Townhouse (Inner) for sale at Amaia Series Nuvali in Laguna
                    ","
                                
                                                                    Santa Rosa
                                                            "
"
                                                2 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Bella)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            "
"
                                                House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal
                    ","
                                
                                                                    Muntingdilaw, Antipolo
                                                            "
"
                                                Townhouse for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal
                    ","
                                
                                                                    Muntingdilaw, Antipolo
                                                            "
"
                                                Duplex House and Lot Side by Side Parkside for Sale in Ajoya Capas, Tarlac - with Spe...
                    ","
                                
                                                                    Talaga, Capas
                                                            "
"
                                                4BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            "
"
                                                5BR Single Attached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            "
"
                                                3 Bedroom Single Attached House at Elisa Homes in Bacoor, Cavite (Pearl Model)
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            "
"
                                                3 Bedroom Single Detached House at Elisa Homes in Bacoor,Cavite (Sapphire Model)
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            "
"
                                                2 Bedrooms House and Lot at Camella Lessandra Calamba (Ezabelle Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Mode...
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -GABRIELLE Mo...
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -THEA Mod...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                4-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ADELLE M...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            "
"
                                                For Sale 4 Bedrooms Luxury Mansion in Cainta
                    ","
                                
                                                                    Cainta
                                                            "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -BRIA...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ALICE Mo...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                Camella Easy Homes 4BR Greta Model house, Nueva Ecija
                    ","
                                
                                                                    Caanawan, San Jose
                                                            "
"
                                                Grand Monaco Hills 4 Bedroom Single Attached/Detached House and Lot,Taytay Rizal
                    ","
                                
                                                                    Dolores, Taytay
                                                            "
"
                                                Single Attached House and Lot Kayla Prime model near Quezon city for sale
                    ","
                                
                                                                    Muzon, San Jose del Monte
                                                            "
"
                                                3storey modern house and lot in bf homes las pinas
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            "
"
                                                Elegantly Finished Duplex House And Lot In Pilar Village Las Pinas-JI
                    ","
                                
                                                                    Pilar, Las Piñas
                                                            "
"
                                                3 Bedroom Townhouse (Inner) for sale at Amaia Series Nuvali in Laguna
                    ","
                                
                                                                    Santa Rosa
                                                            "
"
                                                4 Bedroom House and Lot at Governor’s Hills in General Trias, Cavite (Elyza)
                    ","
                                
                                                                    Biclatan, General Trias
                                                            "
"
                                                3 Bedroom House and Lot at Governor’s Hills in General Trias, Cavite (Jasmine)
                    ","
                                
                                                                    Biclatan, General Trias
                                                            "
"
                                                5 Bedroom House and Lot Unit in Bellefort Estates (Vivienne Model)
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            "
"
                                                3 Bedroom House and Lot in Bellefort Estates (Charlotte Model) 
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            "
"
                                                4 bedroom house and lot for sale in Nuvali, Santa Rosa
                    ","
                                
                                                                    Canlubang, Calamba
                                                            "
"
                                                RFO  House and Lot for sale in Pamplona Park Las Pinas
                    ","
                                
                                                                    Pamplona Dos, Las Piñas
                                                            "
"
                                                2 Bedrooms House and Lot at Camella Sierra Metro East (Bella Model)
                    ","
                                
                                                                    Dulumbayan, Teresa
                                                            "
"
                                                2-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...
                    ","
                                
                                                                    Valle Cruz, Cabanatuan
                                                            "
"
                                                Townhouse Mid Unit for Sale in Ajoya Capas, Tarlac - with Special Offer
                    ","
                                
                                                                    Talaga, Capas
                                                            "
"
                                                House and Lot For Sale at Wedgewoods Subdivision, Silang Cavite
                    ","
                                
                                                                    Inchican, Silang
                                                            "
"
                                                4 Bedroom House and Lot at Villas Phase 3 at Golden Horizon (Daniella)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -BRIANA Model
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -GABR...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                4-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ADELLE Model
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -THEA Model
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ANICA Model
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                6 bedrooms house for sale Bacoor Cavite
                    ","
                                
                                                                    Aniban IV, Bacoor
                                                            "
"
                                                SEASIDE SMART AND FURNISHED HOME WITH POOL IN COMPOSTELA
                    ","
                                
                                                                    Compostela
                                                            "
"
                                                Luxury 10 Bedroom 10BR Mansion Modern House for Sale Antipolo,Rizal, Valley Golf
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                3 Bedroom Townhouse Unit for Sale at Masinag Townhomes in Antipolo, Cupang
                    ","
                                
                                                                    Cupang, Antipolo
                                                            "
"
                                                5 Bedroom House and Lot Unit for sale at Camella Calamba (Freya Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                2 Bedroom House and Lot Unit for sale at Camella Dos Rios Trails (Bella Model)
                    ","
                                
                                                                    Pittland, Cabuyao
                                                            "
"
                                                5 Bedroom House and Lot Unit for sale at Camella Calamba (Gretta Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                House and Lot at Acropolis at Golden Horizon in Trece Martires, Cavite (Athena)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                3 Bedroom Townhouse Unit for Sale at Sabella in Gen. Trias, Cavite (Aliyah)
                    ","
                                
                                                                    Panungyanan, General Trias
                                                            "
"
                                                MSG-08-0423: Foreclosed Residential - House & Lots for Sale in Malitlit, Santa Rosa
                    ","
                                
                                                                    Malitlit, Santa Rosa
                                                            "
"
                                                3 Bedroom (Amanda-Corner) Townhouse for sale at Hamilton Executive Residences
                    ","
                                
                                                                    Malagasang II-E, Imus
                                                            "
"
                                                3 Bedroom House and Lot for Sale at Solviento Villas Phase 4 (Serena)
                    ","
                                
                                                                    Molino III, Bacoor
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -AIRA...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                Shophouse for Sale in Ajoya Capas, Tarlac - with Special Offer
                    ","
                                
                                                                    Talaga, Capas
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -AIRA Model
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                4 Bedroom Single Detached House for Sale in Cebu - Vista De Bahia
                    ","
                                
                                                                    Tayud, Consolacion
                                                            "
"
                                                Corner House and Lot for Sale in Gatchalian Subdivision, Manuyo Dos, Las Pinas
                    ","
                                
                                                                    Manuyo Dos, Las Piñas
                                                            "
"
                                                Casa Royale 2 Bedroom House and Lot, in Binangonan, Rizal
                    ","
                                
                                                                    Libis, Binangonan
                                                            "
"
                                                Grand Monaco Hills 3 Bedroom Townhouse, Taytay Rizal
                    ","
                                
                                                                    Dolores, Taytay
                                                            "
"
                                                Affordable RFO Townhouse in Quezon City
                    ","
                                
                                                                    Fairview, Quezon City
                                                            "
"
                                                3 Bedroom single attached House & Lot in Muntinlupa for sale
                    ","
                                
                                                                    Putatan, Muntinlupa
                                                            "
"
                                                Affordable Townhouse inside Vista Verde Executive Village in Cainta
                    ","
                                
                                                                    San Isidro, Cainta
                                                            "
"
                                                3 Bedrooms House and Lot for sale at Camella Sierra Metro East (Cara Model)
                    ","
                                
                                                                    Dulumbayan, Teresa
                                                            "
"
                                                3 Bedrooms House and Lot for sale at Camella Sierra Metro East (Cara Model)
                    ","
                                
                                                                    Dulumbayan, Teresa
                                                            "
"
                                                3 Bedrooms House and Lot at Camella Sierra Metro East (Hannah Model)
                    ","
                                
                                                                    Dulumbayan, Teresa
                                                            "
"
                                                Duplex House and Lot Back to Back for Sale in Ajoya Capas, Tarlac - with Special Offe...
                    ","
                                
                                                                    Talaga, Capas
                                                            "
"
                                                4-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...
                    ","
                                
                                                                    Eden, Mexico
                                                            "
"
                                                3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...
                    ","
                                
                                                                    Valle Cruz, Cabanatuan
                                                            "
"
                                                2 Bedrooms House and Lot at Camella Lessandra Calamba (Criselle Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                4 Bedroom House and Lot at Villas Phase 3 at Golden Horizon (Catalina)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                2 Bedroom House and Lot at Lessandra Cielo in San Jose del Monte, Bulacan
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            "
"
                                                House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal
                    ","
                                
                                                                    Muntingdilaw, Antipolo
                                                            "
"
                                                3 Bedroom House and Lot Unit for Sale in Carmona Estates (Linden)
                    ","
                                
                                                                    Lantic, Carmona
                                                            "
"
                                                3 Bedroom House and Lot Unit for Sale in Carmona Estates (Pines)
                    ","
                                
                                                                    Lantic, Carmona
                                                            "
"
                                                2 Bedroom Townhouse Unit for sale at Woodtown Residences (Canelon Phase 5)
                    ","
                                
                                                                    Langkaan I, Dasmariñas
                                                            "
"
                                                4 Bedroom House and Lot Unit in Bellefort Estates (Sabine Model) 
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            "
"
                                                5 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Freya)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            "
"
                                                3 Bedroom Townhouse Unit for sale at Courtyards at Golden Horizon (Stefania)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                2 Bedroom House and Lot (Mid) at Phirst Park Homes Calamba 
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                3 Bedroom House and Lot at Idesia in Dasmariñas, Cavite (Gaia)
                    ","
                                
                                                                    San Agustin I, Dasmariñas
                                                            "
"
                                                3 Bedroom House and Lot at Idesia in Dasmariñas, Cavite (Fuji)
                    ","
                                
                                                                    San Agustin I, Dasmariñas
                                                            "
"
                                                3 Bedroom House and Lot Unit for sale at Camella Calamba (Cara Model)
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                3 Bedroom (Astrid End) Townhouse Unit for sale at Neuville Townhomes
                    ","
                                
                                                                    Sanja Mayor, Tanza
                                                            "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -ALEXANDRA Mo...
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -ALEXANDRA Mod...
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ANICA Mo...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -ALEX...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ALICE Model
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ANICA Model
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                Ready for Occupancy Townhouse for Sale in Maplewood Estates, Quezon City
                    ","
                                
                                                                    Tandang Sora, Quezon City
                                                            "
"
                                                3 Bedrooms House and Lot at The BelleCourt in Santa Rosa, Laguna (Special Unit)
                    ","
                                
                                                                    Balibago, Santa Rosa
                                                            "
"
                                                3 Bedroom House and Lot for Sale at Solviento Villas Phase 4 (Leona)
                    ","
                                
                                                                    Molino III, Bacoor
                                                            "
"
                                                4-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - w...
                    ","
                                
                                                                    Calubcub II, San Juan
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -GABRIELLE Mod...
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -AIRA Model
                    ","
                                
                                                                    San Sebastian, Kawit
                                                            "
"
                                                3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...
                    ","
                                
                                                                    Bugtong Na Pulo, Lipa
                                                            "
"
                                                House and Lot with Pool at Terrazas de Punta Fuego, Nasugbu, Batangas
                    ","
                                
                                                                    Papaya, Nasugbu
                                                            "
"
                                                For sale 2 storey Model House Alexandria in Amaresa Marilao, Bulacan
                    ","
                                
                                                                    Loma de Gato, Marilao
                                                            "
"
                                                2BR Affordable Townhouse for Sale in Dasmarinas Cavite near Tagaytay
                    ","
                                
                                                                    Sampaloc I, Dasmariñas
                                                            "
"
                                                259K to Move-In Thea RFO 3BR/2TB near Pasay via Cavitex
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                4BR House and Lot RFO for Sale in Dasmariñas Cavite 
                    ","
                                
                                                                    Dasmariñas
                                                            "
"
                                                For Sale Valle Verde 6 House with 2 Duplex Units Rush Sale
                    ","
                                
                                                                    Ugong, Pasig
                                                            "
"
                                                RFO townhouse in Sauyo Quezon City for sale
                    ","
                                
                                                                    Sauyo, Quezon City
                                                            "
"
                                                Casa Aurora 2 Bedrooms House and Lot Single attached/Detached Bungalow, Caloocan
                    ","
                                
                                                                    Camarin, Caloocan
                                                            "
"
                                                La Grandeza 4 Bedroom Townhouse, Mayamot Antipolo City
                    ","
                                
                                                                    Mayamot, Antipolo
                                                            "
"
                                                For Sale: House in Ayala Alabang Village
                    ","
                                
                                                                    Ayala Alabang, Muntinlupa
                                                            "
"
                                                End Lot 2 Bedrooms 2 Toilet 101sqm House and Lot For Sale in Las Pinas
                    ","
                                
                                                                    Pulang Lupa Dos, Las Piñas
                                                            "
"
                                                3 Bedroom Townhouse (End) for sale at Amaia Series Nuvali in Laguna
                    ","
                                
                                                                    Santa Rosa
                                                            "
"
                                                Townhouse For Sale in The Arcadia, Manibaug Paralaya, Porac, Pampanga
                    ","
                                
                                                                    Manibaug Paralaya, Porac
                                                            "
"
                                                2 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Alli)
                    ","
                                
                                                                    Sapang Palay, San Jose del Monte
                                                            "
"
                                                For Sale Brand-New, Modern 3-Storey House and Lot in Ayala Alabang Muntinlupa
                    ","
                                
                                                                    Ayala Alabang, Muntinlupa
                                                            "
