HouseDescription,Address,Cost
"For Sale Agricultural Farm 2,243 sqm. ","Burgos, Surigao del Norte",₱ 7.00 million
"For Sale Agricultural Farm 20,000 sqm. ","Baliuag, Bulacan",₱ 30.0 million
"For Sale Agricultural Farm 61,000 sqm. ","Gumaca, Quezon",₱ 1.80 million
For Sale Residential Farm 300 sqm. ,"Lubao, Pampanga","₱ 480,000"
For Sale Residential Farm 500 sqm. ,"Tanay, Rizal",₱ 1.25 million
For Sale Residential Farm 500 sqm. ,"General Tinio (Papaya), Nueva Ecija","₱ 750,000"
"For Sale Agricultural Farm 40,691 sqm. ","Baungon, Bukidnon",₱ 12.2 million
For Sale Agricultural Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 250,000"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.50 million
"For Sale Agricultural Farm 3,000 sqm. ","Bacolor, Pampanga",₱ 18.5 million
For Sale Residential Farm 150 sqm. ,"Tanay, Rizal","₱ 450,000"
For Sale Residential Farm 500 sqm. ,"Nasugbu, Batangas","₱ 550,000"
"For Sale Agricultural Farm 40,000 sqm. ","Pitogo, Quezon",₱ 1.50 million
"For Sale Agricultural Farm 30,000 sqm. ","Umingan, Pangasinan",₱ 5.40 million
"For Sale Residential Farm 1,000 sqm. ","Loon, Bohol","₱ 650,000"
For Sale Residential Farm 500 sqm. ,"Bagac, Bataan",₱ 1.00 million
"For Sale Agricultural Farm 31,000 sqm. ","Umingan, Pangasinan",₱ 3.72 million
"For Sale Agricultural Farm 200,000 sqm. ","Umingan, Pangasinan",₱ 40.0 million
"For Sale Agricultural Farm 15,000 sqm. ","Jasaan, Misamis Oriental",₱ 13.5 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
For Sale Others 300 sqm. ,"Magallanes, Cavite",₱ 1.14 million
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal",₱ 1.25 million
"For Sale Agricultural Farm 7,194 sqm. ","Samal, Davao del Norte",₱ 3.00 million
"For Sale Agricultural Farm 1,782 sqm. ","Samal, Davao del Norte",₱ 1.00 million
"For Sale Agricultural Farm 20,000 sqm. ","Tayug, Pangasinan",₱ 7.00 million
"For Sale Agricultural Farm 1,000 sqm. ","Alfonso, Cavite",₱ 3.20 million
"For Sale Agricultural Farm 39,678 sqm. ","Lavezares, Northern Samar",₱ 9.00 million
For Sale Agricultural Farm 80 sqm. ,"Morong, Rizal","₱ 308,000"
"For Sale Agricultural Farm 41,000 sqm. ","Umingan, Pangasinan",₱ 7.00 million
"For Sale Agricultural Farm 60,000 sqm. ","Maddela, Quirino",₱ 12.0 million
"For Sale Agricultural Farm 15,000 sqm. ","Unisan, Quezon",₱ 1.70 million
"For Sale Agricultural Farm 1,000 sqm. ","Alfonso, Cavite",₱ 3.20 million
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal",₱ 1.20 million
"For Sale Agricultural Farm 20,000 sqm. ","Tayug, Pangasinan",₱ 7.00 million
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite",₱ 4.00 million
For Sale Agricultural Farm 200 sqm. ,"Alfonso, Cavite",₱ 1.00 million
For Sale Residential Farm 250 sqm. ,"Magallanes, Cavite",₱ 1.00 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 850,000"
For Sale Residential Farm 100 sqm. ,"Morong, Rizal","₱ 500,000"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite",₱ 2.03 million
"For Sale Residential Farm 6,412 sqm. ","Indang, Cavite",₱ 19.2 million
For Sale Agricultural Farm 130 sqm. ,"Alfonso, Cavite",₱ 1.56 million
For Sale Agricultural Farm 500 sqm. ,"Cebu City, Cebu","₱ 750,000"
For Sale Agricultural Farm 500 sqm. ,"Tanay, Rizal",₱ 1.00 million
"For Sale Residential Farm 100,000 sqm. ","Calintaan, Occidental Mindoro","₱ 600,000"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite",₱ 1.43 million
For Sale Agricultural Farm 100 sqm. ,"Teresa, Rizal","₱ 440,000"
"For Sale Agricultural Farm 60,000 sqm. ","Bongabong, Oriental Mindoro",₱ 27.0 million
For Sale Raw Land 200 sqm. ,"Jalajala, Rizal","₱ 400,000"
"For Sale Residential Farm 23,000 sqm. ","Nasugbu, Batangas",₱ 10.3 million
"For Sale Agricultural Farm 99,000 sqm. ","Santa Catalina, Negros Oriental",₱ 6.00 million
For Sale Agricultural Farm 450 sqm. ,"Nasugbu, Batangas","₱ 513,000"
"For Sale Agricultural Farm 5,000,000 sqm. ","Lian, Batangas",₱ 350 million
"For Sale Agricultural Farm 1,013 sqm. ","Lemery, Batangas",₱ 8.90 million
For Sale Agricultural Farm 200 sqm. ,"Borbon, Cebu","₱ 350,000"
"For Sale Agricultural Farm 230,000 sqm. ","Mangatarem, Pangasinan",₱ 80.5 million
For Sale Residential Farm 200 sqm. ,"Alfonso, Cavite",₱ 1.00 million
"For Sale Agricultural Farm 1,016,000 sqm. ","Infanta, Pangasinan",₱ 203 million
"For Sale Agricultural Farm 5,913 sqm. ","Lipa, Batangas",₱ 5.91 million
For Sale Residential Farm 500 sqm. ,"Indang, Cavite",₱ 2.00 million
For Sale Raw Land 972 sqm. ,"Jalajala, Rizal",₱ 2.43 million
"For Sale Agricultural Farm 1,200 sqm. ","Tagaytay, Cavite",₱ 5.50 million
For Sale Residential Farm 100 sqm. ,"San Juan, Batangas","₱ 240,000"
"For Sale Agricultural Farm 105,000 sqm. ","Naga, Camarines Sur",₱ 36.8 million
"For Sale Agricultural Farm 3,457 sqm. ","Bantayan, Cebu","₱ 950,000"
For Sale Agricultural Farm 900 sqm. ,"Alfonso, Cavite",₱ 4.05 million
"For Sale Agricultural Farm 101,945 sqm. ","Hinigaran, Negros Occidental",₱ 12.0 million
"For Sale Agricultural Farm 2,726 sqm. ","Alfonso, Cavite",₱ 8.18 million
"For Sale Agricultural Farm 26,000 sqm. ","Jalajala, Rizal",₱ 9.10 million
"For Sale Residential Farm 13,355 sqm. ","Tanauan, Batangas",₱ 14.7 million
"For Sale Agricultural Farm 20,100 sqm. ","Floridablanca, Pampanga",₱ 14.7 million
For Sale Residential Farm 100 sqm. ,"Teresa, Rizal","₱ 400,000"
"For Sale Agricultural Farm 6,000,000 sqm. ","Libmanan, Camarines Sur",₱ 210 million
"For Sale Agricultural Farm 10,000 sqm. ","Naic, Cavite",₱ 30.0 million
For Sale Residential Farm 500 sqm. ,"Tanay, Rizal",₱ 1.00 million
"For Sale Residential Farm 1,000 sqm. ","Tuy, Batangas",₱ 1.60 million
"For Sale Residential Farm 2,000 sqm. ","Jalajala, Rizal","₱ 400,000"
For Sale Agricultural Farm 150 sqm. ,"Lubao, Pampanga","₱ 240,000"
"For Sale Agricultural Farm 101,945 sqm. ","Hinigaran, Negros Occidental",₱ 12.0 million
For Sale Residential Farm 150 sqm. ,"Silang, Cavite",₱ 1.13 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 840,000"
"For Sale Residential Farm 13,355 sqm. ","Tanauan, Batangas",₱ 14.7 million
For Sale Residential 750 sqm. ,"Calamba, Laguna",₱ 5.85 million
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal",₱ 1.25 million
"For Sale Agricultural Farm 105,000 sqm. ","Naga, Camarines Sur",₱ 36.8 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 400,000"
"For Sale Residential Farm 1,500 sqm. ","Palauig, Zambales",₱ 6.50 million
For Sale Residential Farm 100 sqm. ,"El Nido (Bacuit), Palawan",₱ 1.80 million
"For Sale Agricultural Farm 15,497 sqm. ","Alfonso, Cavite",₱ 45.0 million
"For Sale Agricultural Farm 95,000 sqm. ","Plaridel, Bulacan",₱ 760 million
"For Sale Residential Farm 1,010 sqm. ","Nasugbu, Batangas",₱ 1.40 million
For Sale Residential Farm 100 sqm. ,"Teresa, Rizal","₱ 400,000"
"For Sale Agricultural Farm 6,000,000 sqm. ","Libmanan, Camarines Sur",₱ 210 million
"For Sale Agricultural Farm 10,000 sqm. ","Naic, Cavite",₱ 30.0 million
"For Sale Residential Farm 10,000 sqm. ","Pandi, Bulacan",₱ 15.0 million
For Sale Agricultural Farm 300 sqm. ,"Pililla, Rizal",₱ 1.17 million
"For Sale Agricultural Farm 210,000 sqm. ","Roxas, Palawan",₱ 9.50 million
For Sale Agricultural Farm 650 sqm. ,"Norzagaray, Bulacan","₱ 780,000"
For Sale Agricultural Farm 650 sqm. ,"Norzagaray, Bulacan","₱ 780,000"
For Sale Residential Farm 758 sqm. ,"Tuy, Batangas",₱ 1.00 million
"For Sale Agricultural Farm 24,038 sqm. ","Apalit, Pampanga",₱ 14.5 million
"For Sale Residential 20,000 sqm. ","Pililla, Rizal",₱ 1.00 million
"For Sale Agricultural Farm 2,151 sqm. ","Samal, Davao del Norte",₱ 2.50 million
"For Sale Agricultural Farm 2,958 sqm. ","Samal, Davao del Norte",₱ 8.80 million
For Sale Agricultural Farm 80 sqm. ,"Morong, Rizal","₱ 308,000"
"For Sale Agricultural Farm 220,000 sqm. ","Santa Maria, Bulacan",₱ 440 million
For Sale Residential Farm 500 sqm. ,"Lian, Batangas","₱ 600,000"
"For Sale Residential Farm 150,000 sqm. ","Balayan, Batangas",₱ 120 million
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite",₱ 1.75 million
"For Sale Residential Farm 19,317 sqm. ","San Juan, Batangas",₱ 290 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
"For Sale Agricultural Farm 100,000 sqm. ","Pandi, Bulacan",₱ 200 million
"For Sale Agricultural Farm 30,000 sqm. ","Tanay, Rizal",₱ 21.0 million
"For Sale Residential Farm 20,119 sqm. ","Camiling, Tarlac",₱ 8.50 million
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 300,000"
"For Sale Agricultural Farm 48,351 sqm. ","Tagum, Davao del Norte",₱ 12.5 million
For Sale Residential 130 sqm. ,"Silang, Cavite",₱ 1.56 million
"For Sale Agricultural Farm 1,000 sqm. ","Tabuelan, Cebu",₱ 1.00 million
"For Sale Agricultural Farm 27,677 sqm. ","Bantayan, Cebu",₱ 10.5 million
"For Sale Residential Farm 1,000 sqm. ","Nasugbu, Batangas",₱ 3.00 million
For Sale Residential Farm 250 sqm. ,"Indang, Cavite",₱ 1.20 million
"For Sale Residential Farm 1,010 sqm. ","Tuy, Batangas",₱ 1.11 million
"For Sale Agricultural Farm 27,815 sqm. ","Tigaon, Camarines Sur",₱ 41.7 million
"For Sale Residential Farm 1,010 sqm. ","Tuy, Batangas",₱ 1.11 million
"For Sale Agricultural Farm 10,000 sqm. ","Tanay, Rizal",₱ 11.0 million
"For Sale Residential Farm 17,000 sqm. ","Malasiqui, Pangasinan",₱ 40.0 million
"For Sale Agricultural Farm 43,000 sqm. ","Umingan, Pangasinan",₱ 8.60 million
For Sale Agricultural Farm 250 sqm. ,"Magallanes, Cavite","₱ 700,000"
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 525,000"
"For Sale Agricultural Farm 10,000 sqm. ","Rosario, Batangas",₱ 3.00 million
"For Sale Residential Farm 60,000 sqm. ","San Ildefonso, Bulacan",₱ 15.0 million
"For Sale Agricultural Farm 6,000 sqm. ","Jalajala, Rizal",₱ 4.80 million
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite",₱ 1.35 million
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 320,000"
For Sale Residential Farm 468 sqm. ,"Nasugbu, Batangas",₱ 1.17 million
"For Sale Residential Farm 3,830 sqm. ","Gingoog, Misamis Oriental",₱ 2.70 million
"For Sale Agricultural Farm 220,000 sqm. ","Santa Maria, Bulacan",₱ 440 million
"For Sale Agricultural Farm 5,293 sqm. ","Carmen, Davao del Norte",₱ 3.50 million
"For Sale Residential Farm 15,000 sqm. ","Baliuag, Bulacan",₱ 30.0 million
For Sale Agricultural Farm 400 sqm. ,"Amadeo, Cavite",₱ 2.00 million
For Sale Residential Farm 120 sqm. ,"Silang, Cavite","₱ 780,000"
For Sale Agricultural Farm 150 sqm. ,"Trece Martires, Cavite","₱ 825,000"
For Sale Residential Farm 500 sqm. ,"Catigbian, Bohol","₱ 500,000"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 550,000"
"For Sale Agricultural Farm 105,000 sqm. ","Candelaria, Zambales",₱ 36.8 million
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 300,000"
"For Sale Agricultural Farm 4,451 sqm. ","Carmen, Davao del Norte",₱ 6.70 million
For Sale Agricultural Farm 100 sqm. ,"Tanay, Rizal","₱ 350,000"
"For Sale Residential Farm 1,053 sqm. ","Indang, Cavite",₱ 3.16 million
For Sale Agricultural Farm 240 sqm. ,"Silang, Cavite",₱ 1.20 million
For Sale Agricultural Farm 400 sqm. ,"Amadeo, Cavite",₱ 2.00 million
"For Sale Residential Farm 15,000 sqm. ","Baliuag, Bulacan",₱ 30.0 million
"For Sale Agricultural Farm 10,300 sqm. ","Villasis, Pangasinan",₱ 10.3 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
"For Sale Residential Farm 5,000 sqm. ","Jalajala, Rizal",₱ 3.50 million
For Sale Residential Farm 500 sqm. ,"Tanay, Rizal","₱ 750,000"
"For Sale Agricultural Farm 1,000 sqm. ","Alfonso, Cavite",₱ 3.30 million
For Sale Residential Farm 500 sqm. ,"Amadeo, Cavite",₱ 3.00 million
For Sale Agricultural Farm 150 sqm. ,"Trece Martires, Cavite","₱ 825,000"
"For Sale Agricultural Farm 80,000 sqm. ","Nasugbu, Batangas",₱ 84.0 million
For Sale Residential 100 sqm. ,"Pililla, Rizal","₱ 579,800"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 400,000"
"For Sale Residential Farm 28,440 sqm. ","San Pablo, Laguna",₱ 45.5 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 1.30 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 550,000"
"For Sale Agricultural Farm 29,592 sqm. ","Porac, Pampanga",₱ 83.0 million
For Sale Agricultural Farm 350 sqm. ,"Magallanes, Cavite",₱ 1.23 million
"For Sale Agro-Industrial Farm 30,000 sqm. ","Malasiqui, Pangasinan",₱ 47.0 million
"For Sale Residential Farm 10,000 sqm. ","San Juan, Batangas",₱ 7.85 million
"For Sale Agricultural Farm 30,000 sqm. ","Baras, Rizal",₱ 45.0 million
"For Sale Agro-Industrial Farm 30,000 sqm. ","Malasiqui, Pangasinan",₱ 47.0 million
"For Sale Residential Farm 10,000 sqm. ","San Juan, Batangas",₱ 7.85 million
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 950,000"
For Sale Residential Farm 300 sqm. ,"Jalajala, Rizal","₱ 540,000"
For Sale Agricultural Farm 500 sqm. ,"Tanay, Rizal",₱ 1.25 million
"For Sale Agricultural Farm 28,000 sqm. ","Magdalena, Laguna",₱ 11.2 million
For Sale Residential Farm 469 sqm. ,"Tagaytay, Cavite",₱ 3.05 million
For Sale Residential Farm 579 sqm. ,"Tiaong, Quezon",₱ 5.91 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 400,000"
"For Sale Residential Farm 28,440 sqm. ","San Pablo, Laguna",₱ 45.5 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 400,000"
"For Sale Agricultural Farm 30,000 sqm. ","Davao City, Davao del Sur",₱ 3.00 million
For Sale Residential Farm 100 sqm. ,"Doña Remedios Trinidad, Bulacan","₱ 300,000"
"For Sale Residential Farm 1,000 sqm. ","Quezon, Quezon","₱ 950,000"
"For Sale Agricultural Farm 8,824 sqm. ","Porac, Pampanga",₱ 8.38 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 840,000"
For Sale Residential Farm 80 sqm. ,"San Juan, Batangas","₱ 720,000"
For Sale Residential Farm 200 sqm. ,"Alfonso, Cavite",₱ 1.00 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 750,000"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 260,000"
"For Sale Agricultural Farm 130,000 sqm. ","San Jose del Monte, Bulacan",₱ 65.0 million
"For Sale Agricultural Farm 8,691 sqm. ","Jalajala, Rizal",₱ 11.3 million
"For Sale Agricultural Farm 60,000 sqm. ","Pandi, Bulacan",₱ 162 million
"For Sale Raw Land 15,840 sqm. ","Magallanes, Cavite",₱ 31.7 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 260,000"
"For Sale Agricultural Farm 13,403 sqm. ","Tanauan, Batangas",₱ 17.4 million
For Sale Residential Farm 500 sqm. ,"Tiaong, Quezon",₱ 4.50 million
"For Sale Agricultural Farm 11,399 sqm. ","Cardona, Rizal",₱ 51.3 million
"For Sale Agricultural Farm 7,000 sqm. ","Morong, Rizal",₱ 42.0 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 450,000"
"For Sale Agricultural Farm 30,000 sqm. ","Baras, Rizal",₱ 45.0 million
For Sale Residential Farm 200 sqm. ,"Alfonso, Cavite",₱ 1.00 million
"For Sale Agro-Industrial Farm 18,590 sqm. ","Villasis, Pangasinan",₱ 33.4 million
"For Sale Residential Farm 28,891 sqm. ","Coron, Palawan",₱ 2.00 million
For Sale Residential Farm 118 sqm. ,"Tanauan, Batangas","₱ 708,000"
"For Sale Agricultural Farm 4,556 sqm. ","Alfonso, Cavite",₱ 9.11 million
"For Sale Agricultural Farm 46,026 sqm. ","Davao City, Davao del Sur",₱ 6.00 million
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 578,000"
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 840,000"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite",₱ 3.18 million
For Sale Residential 150 sqm. ,"Amadeo, Cavite","₱ 525,000"
For Sale Residential Farm 200 sqm. ,"Lian, Batangas",₱ 1.50 million
For Sale Others 100 sqm. ,"Mabini, Batangas",₱ 1.20 million
For Sale Residential 805 sqm. ,"Angono, Rizal",₱ 12.1 million
For Sale Residential Farm 207 sqm. ,"Silang, Cavite",₱ 1.20 million
For Sale Agricultural Farm 406 sqm. ,"Magallanes, Cavite",₱ 1.14 million
"For Sale Agricultural Farm 10,800 sqm. ","Magdalena, Laguna",₱ 16.2 million
For Sale Residential Farm 500 sqm. ,"San Antonio, Quezon","₱ 750,000"
For Sale Agricultural Farm 406 sqm. ,"Magallanes, Cavite",₱ 1.14 million
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite",₱ 1.44 million
"For Sale Residential Farm 1,000 sqm. ","Magallanes, Cavite",₱ 3.60 million
"For Sale Agricultural Farm 10,000 sqm. ","Jalajala, Rizal",₱ 7.00 million
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite",₱ 3.18 million
For Sale Residential Farm 300 sqm. ,"Tagaytay, Cavite",₱ 9.10 million
"For Sale Residential Farm 3,376 sqm. ","Mangaldan, Pangasinan",₱ 5.06 million
"For Sale Agricultural Farm 46,026 sqm. ","Davao City, Davao del Sur",₱ 6.00 million
For Sale Residential Farm 500 sqm. ,"San Antonio, Quezon","₱ 750,000"
"For Sale Raw Land 1,000 sqm. ","Jalajala, Rizal",₱ 1.30 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 750,000"
"For Sale Agricultural Farm 43,731 sqm. ","Dolores, Quezon",₱ 200 million
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite",₱ 3.00 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 840,000"
"For Sale Residential Farm 1,000 sqm. ","Alfonso, Cavite",₱ 2.90 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 690,000"
For Sale Residential Farm 500 sqm. ,"Rosario, Batangas","₱ 600,000"
"For Sale Others 3,805 sqm. ","Lucena, Quezon",₱ 4.95 million
"For Sale Agricultural Farm 1,000,000 sqm. ","Mulanay, Quezon",₱ 50.0 million
"For Sale Agricultural Farm 75,000 sqm. ","Umingan, Pangasinan",₱ 9.75 million
"For Sale Agricultural Farm 9,500 sqm. ","Indang, Cavite",₱ 16.2 million
"For Sale Agricultural Farm 13,000 sqm. ","Bugallon, Pangasinan",₱ 1.95 million
"For Sale Residential Farm 16,000 sqm. ","Tiaong, Quezon",₱ 36.8 million
"For Sale Agricultural Farm 10,000 sqm. ","Burgos, Pangasinan",₱ 1.00 million
For Sale Residential Farm 100 sqm. ,"Mabalacat, Pampanga","₱ 940,000"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite",₱ 3.00 million
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 690,000"
For Sale Residential Farm 500 sqm. ,"Rosario, Batangas","₱ 600,000"
"For Sale Raw Land 20,165 sqm. ","San Remigio, Cebu",₱ 20.0 million
"For Sale Agricultural Farm 1,000,000 sqm. ","Mulanay, Quezon",₱ 50.0 million
"For Sale Agricultural Farm 75,000 sqm. ","Umingan, Pangasinan",₱ 9.75 million
"For Sale Agricultural Farm 10,000 sqm. ","Burgos, Pangasinan",₱ 1.00 million
"For Sale Agro-Industrial Farm 50,000 sqm. ","Calatagan, Batangas",₱ 15.0 million
"For Sale Agricultural Farm 25,993 sqm. ","Cabanatuan, Nueva Ecija",₱ 5.80 million
For Sale Residential Farm 100 sqm. ,"Santa Cruz, Laguna","₱ 300,000"
