Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,HoursWorkedPerWeek,EmploymentSector,SalaryUSD
United Kingdom,Microsoft SQL Server,16,Independent or freelancer or company owner,"Developer: Business Intelligence (SSRS, PowerBI, etc)",38,Private business,93000
United States,Microsoft SQL Server,7,Full time employee,DBA,50,Private business,95000
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,115000
United Kingdom,Microsoft SQL Server,1,Full time employee,DBA,35,Private business,30798
United States,Microsoft SQL Server,11,Full time employee of a consulting/contracting company,Engineer,55,Private business,140000
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,125000
United States,Microsoft SQL Server,18,Full time employee,DBA,40,Private business,87000
United States,Oracle,3,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",40,Private business,99000
United Kingdom,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",35,Private business,44278
United States,Microsoft SQL Server,4,Full time employee,DBA,45,Federal government,78000
United States,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,93000
United States,Microsoft SQL Server,12,Full time employee,Developer: T-SQL,40,Private business,115000
Spain,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,50000
United States,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,88000
United States,Microsoft SQL Server,5,Full time employee,DBA,45,State/province government,72000
United States,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",55,Private business,99000
United States,Microsoft SQL Server,14,Full time employee,Manager,45,Private business,85000
South Africa,Microsoft SQL Server,7,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,45000
United States,Microsoft SQL Server,3,Full time employee,DBA,50,Private business,72000
Poland,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,40,Private business,37669
United Kingdom,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,90000
Germany,Microsoft SQL Server,20,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,85000
United States,Microsoft SQL Server,7,Full time employee of a consulting/contracting company,Developer: T-SQL,40,Private business,95000
United States,Microsoft SQL Server,3,Full time employee,Engineer,45,Private business,70000
United States,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,50,Private business,88130
Norway,Microsoft SQL Server,5,Full time employee,Engineer,38,Local government,65388
Poland,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,35900
United Kingdom,Microsoft SQL Server,16,Full time employee of a consulting/contracting company,DBA,40,Private business,47000
India,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,12000
France,Oracle,3,Full time employee,DBA,40,Private business,42000
United Kingdom,Microsoft SQL Server,11,Full time employee,DBA,38,Private business,61606
India,Oracle,7,Full time employee,DBA,40,Private business,16666
United States,Microsoft SQL Server,13,Full time employee,DBA,40,Local government,85000
United States,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,95000
United States,Microsoft SQL Server,3,Full time employee,Analyst,40,Local government,82000
United Kingdom,Microsoft SQL Server,7,Full time employee,Developer: T-SQL,40,Private business,40000
Spain,Microsoft SQL Server,12,Independent or freelancer or company owner,DBA,40,Private business,45000
United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,35,Private business,50600
Jersey,Microsoft SQL Server,4,Full time employee,DBA,47,Private business,49289
Spain,Oracle,13,Full time employee,DBA,40,Private business,40000
United States,Microsoft SQL Server,5,Full time employee,DBA,50,Private business,91000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,State/province government,96000
United States,Microsoft SQL Server,18,Full time employee,Engineer,40,Private business,113000
Argentina,Microsoft SQL Server,8,Independent or freelancer or company owner,DBA,30,Private business,27000
United States,Microsoft SQL Server,12,Full time employee,Data Scientist,40,State/province government,116000
Russia,Microsoft SQL Server,10,Independent or freelancer or company owner,"Developer: Business Intelligence (SSRS, PowerBI, etc)",80,Private business,35000
United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,105000
Belgium,Microsoft SQL Server,13,Full time employee,DBA,38,Private business,50400
United States,Microsoft SQL Server,15,Full time employee,DBA,38,Private business,125000
Switzerland,Microsoft SQL Server,6,Full time employee,"Developer: App code (C#, JS, etc)",42,Private business,100000
United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,130000
United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,105000
United States,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,57000
United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,90000
United States,Microsoft SQL Server,2,Full time employee,DBA,40,State/province government,63000
United States,Microsoft SQL Server,6,Full time employee,Manager,50,Private business,115000
United States,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,270000
Denmark,Microsoft SQL Server,12,Full time employee of a consulting/contracting company,DBA,40,Private business,80000
United States,Microsoft SQL Server,11,Full time employee,Developer: T-SQL,40,Private business,157000
United States,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,48000
Canada,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,49124
United States,Microsoft SQL Server,17,Full time employee of a consulting/contracting company,Developer: T-SQL,40,Federal government,117832
Ireland,Microsoft SQL Server,11,Full time employee,DBA,40,Private business,63000
United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,105000
United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,80000
United Kingdom,Microsoft SQL Server,13,Independent or freelancer or company owner,Architect,42,Private business,160000
United States,Microsoft SQL Server,18,Full time employee of a consulting/contracting company,Architect,32,Private business,147000
Italy,Microsoft SQL Server,15,Full time employee,Engineer,45,Private business,21000
Sweden,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,64000
United States,Microsoft SQL Server,18,Full time employee,DBA,55,Private business,125000
United States,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,40,Private business,115000
Netherlands,Microsoft SQL Server,8,Full time employee,DBA,30,Local government,45000
United States,PostgreSQL,1,Full time employee,DBA,42,Private business,130000
India,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,7968
United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,42,Private business,40000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Local government,98000
United States,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,100000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,65000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,104000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,90000
United States,Microsoft SQL Server,9,Full time employee of a consulting/contracting company,Architect,45,Private business,138500
United States,Microsoft SQL Server,17,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,120000
United States,Microsoft SQL Server,10,Full time employee,Analyst,50,Private business,132725
United Kingdom,Microsoft SQL Server,12,Full time employee,DBA,45,Private business,75000
India,Microsoft SQL Server,6,Full time employee,DBA,35,Private business,15000
United States,Microsoft SQL Server,2,Full time employee,Analyst,37,Local government,63500
United States,Microsoft SQL Server,4,Full time employee,DBA,36,Private business,75000
United States,Microsoft SQL Server,10,Full time employee,DBA,55,Private business,96000
United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,130000
United States,Microsoft SQL Server,21,Full time employee,Architect,45,Private business,115000
Sweden,Microsoft SQL Server,25,Full time employee,DBA,40,Private business,88900
Australia,Microsoft SQL Server,10,Full time employee,Other,45,Private business,88000
United States,Microsoft SQL Server,5,Full time employee,"Developer: App code (C#, JS, etc)",40,Local government,62000
United States,Microsoft SQL Server,16,Full time employee,DBA,60,Private business,165000
India,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,17647
United States,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,93000
United States,Microsoft SQL Server,7,Full time employee,Manager,50,Private business,97000
United States,Microsoft SQL Server,4,Full time employee,DBA,50,Private business,85000
United States,Microsoft SQL Server,6,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,111000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,134000
Switzerland,Microsoft SQL Server,4,Full time employee,DBA,42,Private business,95500
United States,Microsoft SQL Server,12,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",50,Private business,100000
United States,Microsoft SQL Server,6,Full time employee,DBA,50,Private business,122000
Mexico,Microsoft SQL Server,6,Full time employee of a consulting/contracting company,DBA,48,Private business,26000
United States,Microsoft SQL Server,4,Full time employee,Analyst,48,Private business,46000
United States,Microsoft SQL Server,8,Full time employee,DBA,40,Federal government,103110
India,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,25500
United States,Microsoft SQL Server,9,Full time employee,Engineer,42,Private business,92000
India,Microsoft SQL Server,1,Full time employee,DBA,45,Private business,14000
United States,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",48,Private business,112500
United Kingdom,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,70000
United States,Microsoft SQL Server,12,Full time employee,DBA,50,Private business,120000
Albania,Microsoft SQL Server,6,Full time employee,DBA,160,Federal government,12000
United States,Microsoft SQL Server,16,Full time employee,DBA,37,Private business,12300
United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,100000
Denmark,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",37,Private business,80000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,120000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,120000
United States,Microsoft SQL Server,12,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,120000
India,Microsoft SQL Server,3,Full time employee,DBA,8,Private business,12900
United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,90000
United States,Oracle,8,Full time employee,Architect,50,Private business,118000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,96000
United States,Microsoft SQL Server,7,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,67000
United States,Azure SQL DB,9,Full time employee,DBA,40,Private business,110000
India,Microsoft SQL Server,4,Full time employee of a consulting/contracting company,DBA,40,Private business,10000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Local government,80000
United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,110000
United States,Oracle,3,Full time employee,Analyst,40,State/province government,53000
Russia,Microsoft SQL Server,10,Full time employee,DBA,40,Local government,8300
United States,Microsoft SQL Server,10,Full time employee,DBA,80,Private business,123300
United States,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,40,State/province government,180000
United States,Microsoft SQL Server,10,Full time employee,Architect,45,Private business,130000
United States,Microsoft SQL Server,3,Full time employee,DBA,40,Private business,95000
United States,Microsoft SQL Server,12,Full time employee,Developer: T-SQL,40,Private business,113000
United States,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,50750
United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,80000
United States,Microsoft SQL Server,7,Full time employee,DBA,46,Private business,97500
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Local government,115000
United States,Microsoft SQL Server,7,Full time employee,DBA,60,Private business,90000
United States,Microsoft SQL Server,3,Full time employee,DBA,50,Private business,91800
United States,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",43,Private business,93000
United States,Microsoft SQL Server,9,Independent or freelancer or company owner,Architect,60,Private business,225000
United States,Microsoft SQL Server,18,Full time employee,DBA,55,Private business,94000
United States,Microsoft SQL Server,2,Full time employee,DBA,40,Private business,65000
United States,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,90000
United States,Microsoft SQL Server,10,Full time employee,Engineer,40,Private business,105000
United States,Microsoft SQL Server,15,Full time employee,Developer: T-SQL,40,Private business,83599
United States,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,50,Private business,70000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,92000
United States,Microsoft SQL Server,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,119000
United States,Microsoft SQL Server,11,Full time employee of a consulting/contracting company,Architect,40,Private business,120792
France,Microsoft SQL Server,2,Full time employee of a consulting/contracting company,Developer: T-SQL,40,Private business,35000
United States,Microsoft SQL Server,5,Full time employee,DBA,35,Private business,145000
United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,62000
United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,112000
United States,Microsoft SQL Server,21,Full time employee,DBA,55,Private business,133900
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,100282
United States,Microsoft SQL Server,17,Full time employee,DBA,45,Private business,125000
United States,Microsoft SQL Server,17,Full time employee of a consulting/contracting company,DBA,37,Private business,160000
United States,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,40,Private business,93800
United States,Microsoft SQL Server,11,Full time employee,DBA,37,Local government,89035
United States,Microsoft SQL Server,7,Full time employee,DBA,50,Private business,90000
United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,116000
United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,158000
Canada,Microsoft SQL Server,16,Independent or freelancer or company owner,"Developer: App code (C#, JS, etc)",60,Private business,110000
United States,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,60900
United States,Microsoft SQL Server,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,93500
United States,Microsoft SQL Server,25,Full time employee,DBA,45,Private business,145000
Ireland,Microsoft SQL Server,3,Full time employee,Analyst,39,Private business,52970
United States,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,116000
United States,Microsoft SQL Server,16,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,95000
Canada,Microsoft SQL Server,22,Full time employee,DBA,45,Private business,100000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,90000
United States,Microsoft SQL Server,16,Full time employee,Analyst,40,Private business,125000
United States,Azure SQL DB,1,Full time employee,Developer: T-SQL,45,Private business,65000
United States,Microsoft SQL Server,9,Full time employee,DBA,46,Private business,70000
United States,Microsoft SQL Server,20,Full time employee,Developer: T-SQL,40,Private business,270000
United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,130000
United States,Microsoft SQL Server,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",43,Private business,64775
United States,Microsoft SQL Server,14,Independent or freelancer or company owner,Engineer,50,Private business,300000
United States,Microsoft SQL Server,7,Full time employee,Engineer,45,Private business,93000
United Kingdom,Microsoft SQL Server,10,Full time employee,Architect,45,Private business,105000
United States,Microsoft SQL Server,18,Full time employee,DBA,45,Private business,84000
United States,Microsoft SQL Server,20,Full time employee,Developer: T-SQL,40,Private business,108000
United States,Microsoft SQL Server,18,Full time employee of a consulting/contracting company,Architect,45,Private business,135000
United States,Microsoft SQL Server,10,Full time employee,Manager,60,Private business,116000
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,DBA,45,Private business,104000
United States,Microsoft SQL Server,9,Full time employee,Architect,40,Private business,125000
United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,125000
United States,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,100000
United States,Oracle,25,Full time employee,DBA,40,State/province government,107000
United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,138000
United States,Microsoft SQL Server,14,Full time employee,Manager,45,Private business,135000
United Kingdom,Microsoft SQL Server,22,Full time employee,DBA,40,Private business,59000
United States,Microsoft SQL Server,21,Full time employee,DBA,42,Private business,102000
United States,Microsoft SQL Server,6,Full time employee,DBA,50,Private business,117000
United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,110000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,100000
United States,Microsoft SQL Server,10,Full time employee,Developer: T-SQL,40,Private business,118500
United States,Microsoft SQL Server,20,Full time employee,Architect,55,Private business,113300
United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,123634
United States,Microsoft SQL Server,15,Full time employee,Engineer,40,Private business,102000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Local government,95000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,165000
United States,Microsoft SQL Server,10,Full time employee,DBA,50,Federal government,96108
United States,Microsoft SQL Server,6,Full time employee,Analyst,40,Private business,95000
United States,Microsoft SQL Server,11,Full time employee,DBA,42,Private business,81000
United States,Microsoft SQL Server,15,Full time employee,Developer: T-SQL,50,Private business,73000
United Kingdom,Microsoft SQL Server,11,Full time employee,DBA,40,Private business,55800
United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,115000
United States,Microsoft SQL Server,20,Full time employee,DBA,42,Private business,142000
United Kingdom,Microsoft SQL Server,4,Full time employee,Architect,35,Private business,55845
United States,Microsoft SQL Server,20,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",35,Private business,100000
United States,Microsoft SQL Server,17,Full time employee,Architect,40,Private business,145000
United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,40000
United States,Microsoft SQL Server,3,Full time employee,DBA,50,Private business,110000
United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,117000
United States,Microsoft SQL Server,20,Full time employee,DBA,45,Private business,147000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Local government,109000
United States,Microsoft SQL Server,12,Full time employee,DBA,45,Private business,110000
United States,Microsoft SQL Server,17,Full time employee,DBA,35,Private business,110000
United Kingdom,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,62000
United States,Microsoft SQL Server,14,Independent or freelancer or company owner,Architect,40,Private business,124800
United States,Microsoft SQL Server,8,Full time employee,DBA,40,State/province government,71594
United States,Microsoft SQL Server,11,Full time employee,Developer: T-SQL,75,Private business,200000
United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,70400
United States,Microsoft SQL Server,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",50,Private business,125000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Local government,85000
United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,98000
United States,Microsoft SQL Server,7,Full time employee,Engineer,45,Private business,132000
United States,Microsoft SQL Server,17,Full time employee,DBA,45,Private business,110000
United States,Microsoft SQL Server,19,Full time employee,DBA,40,Private business,155000
United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,113000
United States,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,47240
Brazil,Microsoft SQL Server,8,Full time employee of a consulting/contracting company,DBA,60,Private business,29000
