,Address,Bedrooms,Bathrooms,Sqm,Cost
142,"Baguio City Economic Zone, Baguio, Benguet",5,3,170,10000000.0
143,"Limay, Bataan",3,2,180,5800000.0
144,"Angeles, Pampanga",3,2,101,3620000.0
145,"Santa Rosa, Laguna",2,1,42,2140000.0
146,"Puerto Princesa, Palawan",2,1,40,2900000.0
147,"Davao City, Davao del Sur",3,2,308,33000000.0
148,"Mandaluyong, Metro Manila",5,3,260,13400000.0
149,"Pasay, Metro Manila",4,3,139,18000000.0
150,"General Trias, Cavite",2,1,24,2000000.0
151,"Taguig, Metro Manila",4,4,410,48800000.0
152,"Parañaque, Metro Manila",4,2,500,25000000.0
153,"San Fernando, La Union",2,1,40,2500000.0
154,"Muntinlupa, Metro Manila",9,6,500,50000000.0
155,"Liloan, Cebu",3,3,183,12300000.0
156,"Sariaya, Quezon",2,1,33,669600.0
157,"Calamba, Laguna",2,1,75,5000000.0
158,"Bogo, Cebu",0,1,50,1400000.0
159,"Ivisan, Capiz",3,1,42,1870000.0
160,"Mactan, Lapu-Lapu, Cebu",3,2,50,9500000.0
161,"Santo Tomas, Batangas",2,1,44,1620000.0
162,"Quezon City / QC, Metro Manila",3,2,100,6300000.0
163,"Puerto Princesa, Palawan",2,1,35,4700000.0
164,"Carcar, Cebu",2,1,58,1810000.0
165,"Nasugbu, Batangas",3,2,40,2300000.0
166,"Rodriguez (Montalban), Rizal",2,1,44,1820000.0
167,"San Rafael, Bulacan",2,1,44,1110000.0
168,"Butuan, Agusan del Norte",2,1,48,2240000.0
169,"Trece Martires, Cavite",2,1,40,2330000.0
170,"San Rafael, Bulacan",2,1,44,1110000.0
171,"Trece Martires, Cavite",4,3,90,7160000.0
172,"Tanauan, Batangas",2,1,51,1500000.0
173,"Malolos, Bulacan",2,1,44,2009999.9999999998
174,"Puerto Princesa, Palawan",2,1,40,3130000.0
175,"Imus, Cavite",3,2,60,2690000.0
176,"General Trias, Cavite",2,1,40,2870000.0
177,"Dauis, Bohol",2,2,48,3060000.0
178,"Baliuag, Bulacan",2,1,44,1560000.0
179,"Talisay, Batangas",0,1,100,7950000.0
180,"San Jose, Batangas",2,2,48,3390000.0
181,"Cagayan de Oro, Misamis Oriental",2,2,117,3000000.0
182,"Imus, Cavite",3,1,40,1800000.0
183,"Tanza, Cavite",3,2,40,1780000.0
184,"Padre Garcia, Batangas",3,2,75,4700000.0
185,"Imus, Cavite",3,1,40,1990000.0
186,"Las Piñas, Metro Manila",5,4,189,8800000.0
187,"Tagum, Davao del Norte",4,4,155,6760000.0
188,"San Jose del Monte, Bulacan",2,1,40,3070000.0
189,"Marilao, Bulacan",4,3,80,4700000.0
190,"Trece Martires, Cavite",2,2,80,3580000.0
191,"Novaliches, Quezon City / QC, Metro Manila",3,2,104,5510000.0
192,"Trece Martires, Cavite",3,2,65,5240000.0
193,"Novaliches, Quezon City / QC, Metro Manila",3,2,104,5510000.0
194,"Malvar, Batangas",2,1,36,2590000.0
195,"Lipa, Batangas",3,1,46,1070000.0
196,"General Trias, Cavite",3,2,54,3400000.0
197,"Calamba, Laguna",3,2,65,6190000.0
198,"Marilao, Bulacan",4,3,80,4700000.0
199,"Antipolo, Rizal",4,4,170,11500000.0
200,"San Pablo, Laguna",3,2,74,3700000.0
201,"Tanauan, Batangas",0,1,28,1520000.0
202,"Candelaria, Quezon",3,2,50,1900000.0
203,"Trece Martires, Cavite",2,2,80,3580000.0
204,"Biñan, Laguna",2,2,71,4090000.0
205,"Tanauan, Batangas",2,1,44,1810000.0
206,"Cabanatuan, Nueva Ecija",2,1,50,1890000.0
207,"General Trias, Cavite",3,2,50,2800000.0
208,"Santa Maria, Bulacan",2,2,88,4670000.0
209,"San Ildefonso, Bulacan",2,1,36,2400000.0
210,"Santa Ignacia, Tarlac",0,1,28,1220000.0
211,"Marilao, Bulacan",2,1,55,2000000.0
212,"Trece Martires, Cavite",2,1,36,2180000.0
213,"General Trias, Cavite",3,1,60,3200000.0
214,"Urdaneta, Pangasinan",4,2,56,3340000.0
215,"Cabanatuan, Nueva Ecija",3,2,70,1720000.0
216,"Bacoor, Cavite",4,3,97,6000000.0
217,"General Trias, Cavite",3,2,60,2690000.0
218,"San Pedro, Laguna",3,1,67,4510000.0
219,"Puerto Princesa, Palawan",2,1,80,6000000.0
220,"Quezon City / QC, Metro Manila",4,3,116,11000000.0
221,"San Fernando, Pampanga",3,3,200,9500000.0
222,"Angeles, Pampanga",5,6,250,18500000.0
223,"Angeles, Pampanga",6,4,320,12500000.0
224,"San Fernando, Pampanga",3,2,123,4500000.0
225,"Angeles, Pampanga",5,3,220,10500000.0
226,"Cebu City, Cebu",3,2,122,5700000.0
227,"Bacoor, Cavite",3,2,84,5000000.0
228,"Cabuyao, Laguna",0,1,30,1200000.0
229,"Bacoor, Cavite",0,0,67,2690000.0
230,"Angat, Bulacan",3,2,180,5000000.0
231,"Baliuag, Bulacan",2,1,40,2500000.0
232,"Marikina, Metro Manila",5,4,350,20000000.0
233,"San Jose del Monte, Bulacan",0,3,150,3330000.0
234,"Tagaytay, Cavite",4,4,358,28000000.0
235,"Taytay, Rizal",4,3,135,6500000.0
236,"Las Piñas, Metro Manila",4,3,154,7500000.0
237,"Antipolo, Rizal",4,3,172,8400000.0
238,"Tagaytay, Cavite",3,3,700,25000000.0
239,"Tagaytay, Cavite",2,6,120,17000000.0
240,"Las Piñas, Metro Manila",4,3,154,7500000.0
241,"Caloocan, Metro Manila",3,2,60,3900000.0
242,"Angeles, Pampanga",4,4,222,10000000.0
243,"Mactan, Lapu-Lapu, Cebu",2,1,33,1750000.0
244,"General Trias, Cavite",4,2,81,4420000.0
245,"Manila, Metro Manila",4,4,420,18500000.0
246,"Angeles, Pampanga",5,6,325,27000000.0
247,"Cagayan de Oro, Misamis Oriental",9,7,533,65000000.0
248,"Antipolo, Rizal",12,7,2000,165000000.0
249,"Tagaytay, Cavite",2,2,200,15000000.0
250,"Bacoor, Cavite",2,3,84,6500000.0
251,"Puerto Princesa, Palawan",4,5,400,32000000.0
252,"Binangonan, Rizal",3,3,107,3500000.0
253,"Baguio, Benguet",3,2,300,11000000.0
254,"Davao City, Davao del Sur",11,11,368,27000000.0
255,"Las Piñas, Metro Manila",3,3,143,7000000.0
256,"Bulakan, Bulacan",4,3,81,6910000.0
257,"Albuera, Leyte",6,5,1000,54000000.0
258,"General Santos (Dadiangas), South Cotabato",0,1,22,1000000.0
259,"Marilao, Bulacan",2,1,60,1720000.0
260,"Angeles, Pampanga",3,3,165,5800000.0
261,"Tagum, Davao del Norte",3,2,82,1870000.0
262,"Makati, Metro Manila",4,4,350,125000000.0
263,"General Trias, Cavite",3,1,50,2120000.0
264,"Imus, Cavite",4,3,85,11500000.0
265,"Tagaytay, Cavite",7,7,4000,90000000.0
266,"Parañaque, Metro Manila",4,5,476,30300000.0
267,"San Pablo, Laguna",3,2,250,21200000.0
268,"Imus, Cavite",3,2,126,6500000.0
269,"Imus, Cavite",2,1,40,3000000.0
270,"San Juan, Batangas",2,1,46,3610000.0
271,"Nasugbu, Batangas",2,1,50,2320000.0
272,"Imus, Cavite",3,3,63,4080000.0
273,"Talisay, Cebu",5,3,240,14900000.0
274,"Las Piñas, Metro Manila",5,4,347,30000000.0
275,"Subic, Zambales",5,3,166,9780000.0
276,"Taguig, Metro Manila",4,5,410,46800000.0
277,"Makati, Metro Manila",4,4,607,170000000.0
278,"Carcar, Cebu",5,4,97,8630000.0
279,"Cordova, Cebu",2,1,30,1600000.0
280,"Quezon City / QC, Metro Manila",10,12,1500,185000000.0
281,"Imelda, Zamboanga Sibugay",3,3,63,4580000.0
282,"Angeles, Pampanga",5,7,330,35000000.0
283,"Imus, Cavite",2,1,40,3480000.0
284,"Taytay, Rizal",2,2,143,7500000.0
285,"Angono, Rizal",7,3,265,10000000.0
286,"Cagayan de Oro, Misamis Oriental",2,1,50,3500000.0
287,"Santa Rosa, Laguna",4,4,340,27800000.0
288,"Cagayan de Oro, Misamis Oriental",4,2,150,5500000.0
289,"Imus, Cavite",2,1,40,3480000.0
290,"Alabang, Muntinlupa, Metro Manila",3,3,100,12000000.0
291,"Amadeo, Cavite",4,4,225,15000000.0
292,"Santa Rosa, Laguna",4,4,340,27800000.0
293,"San Luis, Batangas",3,2,180,25000000.0
294,"Mandaluyong, Metro Manila",5,3,300,46000000.0
295,"Nuvali, Santa Rosa, Laguna",3,3,120,16500000.0
296,"Imus, Cavite",4,3,205,8950000.0
297,"Biñan, Laguna",4,3,100,11900000.0
298,"General Trias, Cavite",2,1,40,4500000.0
299,"Bulakan, Bulacan",2,2,46,3230000.0
300,"Talisay, Cebu",2,1,46,5520000.0
301,"General Trias, Cavite",3,1,40,1940000.0
302,"Oton, Iloilo",2,1,36,3450000.0
303,"Dauis, Bohol",0,1,50,1600000.0
304,"Parañaque, Metro Manila",2,3,266,12000000.0
305,"Carcar, Cebu",2,1,34,980000.0
306,"Calamba, Laguna",3,2,66,4400000.0
307,"Antipolo, Rizal",3,2,80,3300000.0
308,"Las Piñas, Metro Manila",4,3,250,18300000.0
309,"Caloocan, Metro Manila",3,2,86,10500000.0
310,"Naic, Cavite",2,1,43,1240000.0
311,"Ortigas, Pasig, Metro Manila",7,7,400,24000000.0
312,"Bacoor, Cavite",3,2,65,4390000.0
313,"Ortigas, Pasig, Metro Manila",7,7,400,24000000.0
314,"Nabas, Aklan",5,3,100,7220000.0
315,"Talisay, Cebu",2,1,46,5520000.0
316,"Trece Martires, Cavite",0,1,25,1500000.0
317,"Taytay, Rizal",4,4,190,10000000.0
318,"Carcar, Cebu",2,1,34,980000.0
319,"Calamba, Laguna",3,2,66,4400000.0
320,"Parañaque, Metro Manila",8,8,780,30000000.0
321,"Antipolo, Rizal",3,2,80,3300000.0
322,"Las Piñas, Metro Manila",4,3,250,18300000.0
323,"Caloocan, Metro Manila",3,2,86,10500000.0
324,"Magalang, Pampanga",3,2,54,3000000.0
325,"Angeles, Pampanga",4,4,183,20000000.0
326,"Cagayan de Oro, Misamis Oriental",13,18,1700,40000000.0
327,"Alabang, Muntinlupa, Metro Manila",7,5,800,125000000.0
328,"Mandaluyong, Metro Manila",3,3,150,10500000.0
329,"Marikina, Metro Manila",3,4,145,8000000.0
330,"Magalang, Pampanga",3,2,64,5700000.0
331,"Mactan, Lapu-Lapu, Cebu",4,4,150,7500000.0
332,"Cordova, Cebu",3,2,100,5000000.0
333,"Silay, Negros Occidental",0,1,22,999000.0
334,"Manila, Metro Manila",4,4,392,53000000.0
335,"San Juan, Metro Manila",5,4,289,32299999.999999996
336,"Taytay, Rizal",4,4,190,10000000.0
337,"Magalang, Pampanga",3,2,54,3000000.0
338,"San Juan, Metro Manila",3,3,168,38500000.0
339,"Valenzuela, Metro Manila",2,1,36,3380000.0
340,"Cauayan, Isabela",5,3,142,9450000.0
341,"Bacoor, Cavite",3,2,65,4390000.0
342,"Quezon City / QC, Metro Manila",4,9,530,62000000.0
343,"Palo, Leyte",0,1,22,2000000.0
344,"Bauan, Batangas",2,2,56,3000000.0
345,"Cagayan de Oro, Misamis Oriental",13,18,1700,40000000.0
346,"Cebu Business Park, Cebu City, Cebu",3,3,1053,16000000.0
347,"Digos, Davao del Sur",3,4,200,4800000.0
348,"Mactan, Lapu-Lapu, Cebu",4,4,150,7500000.0
349,"Cordova, Cebu",3,2,100,5000000.0
350,"Mactan, Lapu-Lapu, Cebu",3,3,160,5300000.0
351,"Biñan, Laguna",3,3,90,9020000.0
352,"Nabas, Aklan",5,3,100,7220000.0
353,"Las Piñas, Metro Manila",3,2,167,8500000.0
354,"Meycauayan, Bulacan",2,1,51,2210000.0
355,"Borbon, Cebu",2,2,110,16000000.0
356,"Biñan, Laguna",4,8,450,65000000.0
357,"Santa Rosa, Laguna",3,3,268,14000000.0
358,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",4,4,410,48800000.0
359,"Cabanatuan, Nueva Ecija",0,1,50,1700000.0
360,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",4,4,410,48800000.0
361,"Alaminos, Laguna",2,1,46,1000000.0
362,"Bais, Negros Oriental",2,1,42,1500000.0
363,"Silang, Cavite",3,2,110,7800000.0
364,"Mactan, Lapu-Lapu, Cebu",3,2,88,5100000.0
365,"Cabuyao, Laguna",3,3,186,12500000.0
366,"Makati, Metro Manila",3,3,350,130000000.0
367,"Marikina, Metro Manila",3,2,100,5370000.0
368,"Las Piñas, Metro Manila",5,3,530,57000000.0
369,"Parañaque, Metro Manila",13,13,324,26000000.0
370,"Taytay, Rizal",5,5,504,25000000.0
371,"Villaba, Leyte",2,2,400,8000000.0
372,"Tanauan, Batangas",3,2,80,4410000.0
373,"Naic, Cavite",2,1,43,1310000.0
374,"Pandi, Bulacan",2,1,46,948236.0
375,"Santa Rosa, Laguna",3,3,200,6500000.0
376,"Antipolo, Rizal",0,1,45,1300000.0
377,"Dumaguete, Negros Oriental",5,3,170,5500000.0
378,"Nasugbu, Batangas",3,2,54,4380000.0
379,"Cagayan de Oro, Misamis Oriental",2,1,46,4430000.0
380,"Pagadian, Zamboanga del Sur",0,1,24,1210000.0
381,"Mactan, Lapu-Lapu, Cebu",3,1,40,1700000.0
382,"Tanza, Cavite",2,1,44,2009999.9999999998
383,"Taguig, Metro Manila",4,3,105,18500000.0
384,"Bacolod, Negros Occidental",3,1,54,1820000.0
385,"San Pablo, Laguna",2,1,40,2830000.0
386,"Nasugbu, Batangas",3,2,54,4380000.0
387,"Cagayan de Oro, Misamis Oriental",2,1,46,4430000.0
388,"Mactan, Lapu-Lapu, Cebu",3,1,40,1700000.0
389,"Bacolod, Negros Occidental",2,1,24,657716.0
390,"Antipolo, Rizal",0,1,45,1300000.0
391,"Tanza, Cavite",2,1,44,2009999.9999999998
392,"Bulakan, Bulacan",2,2,53,5160000.0
393,"Angono, Rizal",3,2,180,6000000.0
394,"Tanza, Cavite",3,2,55,3000000.0
395,"Cagayan de Oro, Misamis Oriental",3,1,60,4700000.0
396,"Alaminos, Pangasinan",2,2,60,2500000.0
397,"Butuan, Agusan del Norte",4,2,375,8000000.0
398,"Mandaluyong, Metro Manila",4,2,320,35000000.0
399,"Calbayog, Samar",2,1,36,2049999.9999999998
400,"Clark, Angeles, Pampanga",4,4,350,22800000.0
401,"Nuvali, Calamba, Laguna",2,2,53,8710000.0
402,"Davao City, Davao del Sur",5,5,260,18900000.0
403,"Angeles, Pampanga",3,2,86,3430000.0
404,"Alabang, Muntinlupa, Metro Manila",3,4,237,30000000.0
405,"Dasmariñas, Cavite",2,1,44,1790000.0
406,"Cebu City, Cebu",5,5,527,49200000.0
407,"Magalang, Pampanga",2,1,44,1770000.0
408,"Bulakan, Bulacan",2,2,53,5160000.0
409,"Tanza, Cavite",3,2,55,3000000.0
410,"Las Piñas, Metro Manila",3,2,117,7130000.0
411,"Cagayan de Oro, Misamis Oriental",3,1,60,4700000.0
412,"Alaminos, Pangasinan",2,2,60,2500000.0
413,"Butuan, Agusan del Norte",4,2,375,8000000.0
414,"Mandaluyong, Metro Manila",4,2,320,35000000.0
415,"Calbayog, Samar",2,1,36,2049999.9999999998
416,"Clark, Angeles, Pampanga",4,4,350,22800000.0
417,"Nuvali, Calamba, Laguna",2,2,53,8710000.0
418,"Davao City, Davao del Sur",5,5,260,18900000.0
419,"Alabang, Muntinlupa, Metro Manila",4,4,650,85000000.0
420,"Angeles, Pampanga",3,2,86,3430000.0
421,"Alabang, Muntinlupa, Metro Manila",3,4,237,30000000.0
422,"Parañaque, Metro Manila",3,2,170,17300000.0
423,"Dasmariñas, Cavite",2,1,44,1790000.0
424,"Cebu City, Cebu",5,5,527,49200000.0
425,"Magalang, Pampanga",2,1,44,1770000.0
426,"Alfonso, Cavite",2,2,53,5050000.0
427,"Pavia, Iloilo",4,3,110,6500000.0
428,"Santa Maria, Bulacan",2,1,40,2550000.0
429,"Tagaytay, Cavite",4,3,150,13300000.0
430,"Juban, Sorsogon",5,4,250,10000000.0
431,"Tanza, Cavite",2,1,45,1650000.0
432,"Bacoor, Cavite",3,2,221,11900000.0
433,"Dasmariñas, Cavite",2,2,53,7480000.0
434,"Las Piñas, Metro Manila",6,6,300,28000000.0
435,"Parañaque, Metro Manila",6,7,780,45000000.0
436,"Malvar, Batangas",2,1,36,2500000.0
437,"Pavia, Iloilo",4,3,110,6500000.0
438,"Mariveles, Bataan",0,2,54,1950000.0
439,"Parañaque, Metro Manila",3,2,170,17300000.0
440,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",3,3,137,17000000.0
441,"Binalbagan, Negros Occidental",3,2,72,2630000.0
442,"Magalang, Pampanga",3,2,54,3000000.0
443,"Taytay, Rizal",4,4,400,13800000.0
444,"Kawit, Cavite",5,5,320,21500000.0
445,"Tagaytay, Cavite",4,4,225,15000000.0
446,"Quezon City / QC, Metro Manila",4,4,170,12500000.0
447,"Juban, Sorsogon",5,4,250,10000000.0
448,"Lipa, Batangas",0,1,32,1260000.0
449,"Dasmariñas, Cavite",4,2,120,3800000.0
450,"Urdaneta, Pangasinan",0,1,30,1700000.0
451,"Bacoor, Cavite",0,0,41,3810000.0
452,"Carmona, Cavite",0,0,50,2590000.0
453,"Daanbantayan, Cebu",3,2,103,3360000.0
454,"Cebu City, Cebu",3,2,63,5290000.0
455,"Quezon City / QC, Metro Manila",8,4,371,24000000.0
456,"Alfonso, Cavite",2,2,72,6920000.0
457,"Lipa, Batangas",0,1,32,1260000.0
458,"Angono, Rizal",4,2,150,7000000.0
459,"Dasmariñas, Cavite",4,2,120,3800000.0
460,"Bacoor, Cavite",0,0,41,3810000.0
461,"Alfonso, Cavite",2,2,72,6920000.0
462,"Valenzuela, Metro Manila",2,1,44,3370000.0
463,"Balayan, Batangas",2,1,36,2060000.0
464,"Las Piñas, Metro Manila",4,3,130,7800000.0
465,"Antipolo, Rizal",4,3,130,6500000.0
466,"Las Piñas, Metro Manila",5,5,350,35000000.0
467,"Antipolo, Rizal",5,3,166,9000000.0
468,"Subic, Zambales",4,5,148,6100000.0
469,"Arayat, Pampanga",3,2,70,2570000.0
470,"Cebu City, Cebu",4,5,227,30000000.0
471,"Mactan, Lapu-Lapu, Cebu",5,4,190,11300000.0
472,"General Trias, Cavite",3,2,54,3000000.0
473,"Daanbantayan, Cebu",3,2,103,3360000.0
474,"Balingasag, Misamis Oriental",0,1,22,998000.0
475,"Quezon City / QC, Metro Manila",5,4,375,35000000.0
476,"Lipa, Batangas",3,2,100,4000000.0
477,"Hagonoy, Bulacan",6,3,238,11000000.0
478,"Quezon City / QC, Metro Manila",0,1,20,1660000.0
479,"Lipa, Batangas",2,1,50,1900000.0
480,"Baliuag, Bulacan",3,1,42,1700000.0
481,"Bacoor, Cavite",3,2,125,6500000.0
482,"Antipolo, Rizal",2,2,44,4880000.0
483,"Quezon City / QC, Metro Manila",3,1,180,7800000.0
484,"Naga, Camarines Sur",2,2,102,2000000.0
485,"Tagaytay, Cavite",5,3,280,12500000.0
486,"Las Piñas, Metro Manila",6,6,375,30000000.0
487,"Tanza, Cavite",3,1,53,2500000.0
488,"Liloan, Cebu",4,3,155,11700000.0
489,"Magalang, Pampanga",2,1,77,1600000.0
490,"Cubao, Quezon City / QC, Metro Manila",4,5,249,26000000.0
491,"Caloocan, Metro Manila",3,2,77,4200000.0
492,"Quezon City / QC, Metro Manila",3,3,126,10900000.0
493,"Cebu City, Cebu",8,8,400,18000000.0
494,"Biñan, Laguna",3,2,55,3960000.0
495,"New Manila, Quezon City / QC, Metro Manila",4,5,440,50300000.0
496,"Libona, Bukidnon",2,1,42,1780000.0
497,"Valencia (Luzurriaga), Negros Oriental",3,2,125,5500000.0
498,"Angeles, Pampanga",4,4,220,15000000.0
499,"Dagupan, Pangasinan",2,2,82,2800000.0
500,"Parañaque, Metro Manila",4,4,250,16000000.0
