PropertyDescription,Address,Sqm
"For Sale Agricultural Farm 21,000 sqm. ","Gumaca, Quezon",₱ 166/sqm
"For Sale Residential Farm 1,037 sqm. ","Tuy, Batangas","₱ 1,334/sqm"
"For Sale Agricultural Farm 33,000 sqm. ","Umingan, Pangasinan",₱ 120/sqm
"For Sale Agricultural Farm 154,839 sqm. ","San Jose, Tarlac",₱ 260/sqm
"For Sale Agricultural Farm 81,206 sqm. ","San Pablo, Laguna","₱ 1,136/sqm"
"For Sale Agricultural Farm 100,000 sqm. ","Mabini, Pangasinan",₱ 120/sqm
"For Sale Agricultural Farm 200,000,000 sqm. ","Dipaculao, Aurora",₱ 170/sqm
For Sale Residential Farm 583 sqm. ,"Amadeo, Cavite","₱ 4,631/sqm"
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite","₱ 4,800/sqm"
"For Sale Agricultural Farm 439,901 sqm. ","San Ildefonso, Bulacan",₱ 380/sqm
"For Sale Agricultural Farm 20,834 sqm. ","Lipa, Batangas","₱ 5,135/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Lipa, Batangas","₱ 5,000/sqm"
For Sale Agricultural Farm 400 sqm. ,"Amadeo, Cavite","₱ 5,000/sqm"
"For Sale Agricultural Farm 6,849 sqm. ","Batangas City, Batangas",₱ 511/sqm
"For Sale Agricultural Farm 58,646 sqm. ","Tanay, Rizal",₱ 409/sqm
"For Sale Agricultural Farm 68,501 sqm. ","San Jose, Tarlac",₱ 300/sqm
"For Sale Agricultural Farm 90,000 sqm. ","Tigbauan, Iloilo",₱ 100/sqm
"For Sale Raw Land 102,206 sqm. ","Gerona, Tarlac",₱ 300/sqm
For Sale Residential Farm 500 sqm. ,"Indang, Cavite","₱ 4,060/sqm"
"For Sale Residential Farm 3,190 sqm. ","Lipa, Batangas","₱ 3,360/sqm"
"For Sale Agricultural Farm 68,501 sqm. ","San Jose, Tarlac",₱ 300/sqm
"For Sale Agricultural Farm 90,000 sqm. ","Tigbauan, Iloilo",₱ 100/sqm
"For Sale Agricultural Farm 20,000 sqm. ","Baliuag, Bulacan","₱ 1,500/sqm"
"For Sale Raw Land 102,206 sqm. ","Gerona, Tarlac",₱ 300/sqm
"For Sale Agricultural Farm 20,000 sqm. ","El Salvador, Misamis Oriental",₱ 600/sqm
For Sale Residential Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 2,000/sqm"
"For Sale Agricultural Farm 60,000 sqm. ","Coron, Palawan",₱ 28/sqm
For Sale Residential Farm 150 sqm. ,"Lubao, Pampanga","₱ 1,600/sqm"
For Sale Residential Farm 150 sqm. ,"Tanay, Rizal","₱ 3,000/sqm"
For Sale Residential Farm 500 sqm. ,"Nasugbu, Batangas","₱ 1,100/sqm"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite","₱ 4,060/sqm"
"For Sale Residential Farm 1,000 sqm. ","Loon, Bohol",₱ 650/sqm
"For Sale Agricultural Farm 2,243 sqm. ","Burgos, Surigao del Norte","₱ 3,120/sqm"
"For Sale Agricultural Farm 40,691 sqm. ","Baungon, Bukidnon",₱ 300/sqm
For Sale Agricultural Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 2,500/sqm"
"For Sale Agricultural Farm 39,678 sqm. ","Lavezares, Northern Samar",₱ 226/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 950/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,500/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Umingan, Pangasinan",₱ 180/sqm
For Sale Others 300 sqm. ,"Magallanes, Cavite","₱ 3,800/sqm"
"For Sale Agricultural Farm 61,000 sqm. ","Gumaca, Quezon",₱ 29/sqm
For Sale Residential Farm 100 sqm. ,"Lipa, Batangas","₱ 8,000/sqm"
"For Sale Agricultural Farm 15,000 sqm. ","Jasaan, Misamis Oriental",₱ 900/sqm
"For Sale Agricultural Farm 15,000 sqm. ","Jasaan, Misamis Oriental",₱ 900/sqm
"For Sale Agricultural Farm 200,000 sqm. ","Umingan, Pangasinan",₱ 200/sqm
"For Sale Agricultural Farm 31,000 sqm. ","Umingan, Pangasinan",₱ 120/sqm
"For Sale Agricultural Farm 1,782 sqm. ","Samal, Davao del Norte",₱ 561/sqm
"For Sale Agricultural Farm 7,194 sqm. ","Samal, Davao del Norte",₱ 417/sqm
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal","₱ 2,500/sqm"
For Sale Residential Farm 100 sqm. ,"Morong, Rizal","₱ 5,000/sqm"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite","₱ 4,060/sqm"
For Sale Residential Farm 250 sqm. ,"Magallanes, Cavite","₱ 4,000/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 850/sqm
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 5,500/sqm"
"For Sale Agricultural Farm 60,000 sqm. ","Bongabong, Oriental Mindoro",₱ 450/sqm
For Sale Agricultural Farm 80 sqm. ,"Morong, Rizal","₱ 3,850/sqm"
For Sale Agricultural Farm 667 sqm. ,"Tanza, Cavite","₱ 2,848/sqm"
"For Sale Agricultural Farm 20,000 sqm. ","Tayug, Pangasinan",₱ 350/sqm
For Sale Agricultural Farm 200 sqm. ,"Norzagaray, Bulacan","₱ 2,800/sqm"
For Sale Residential 250 sqm. ,"Mendez (Mendez-Nuñez), Cavite","₱ 3,500/sqm"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite","₱ 4,000/sqm"
For Sale Agricultural Farm 200 sqm. ,"Norzagaray, Bulacan","₱ 1,800/sqm"
For Sale Agricultural Farm 200 sqm. ,"Alfonso, Cavite","₱ 5,000/sqm"
"For Sale Residential Farm 6,412 sqm. ","Indang, Cavite","₱ 3,000/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Alfonso, Cavite","₱ 3,200/sqm"
For Sale Agricultural Farm 130 sqm. ,"Alfonso, Cavite","₱ 12,000/sqm"
For Sale Agricultural Farm 500 sqm. ,"Cebu City, Cebu","₱ 1,500/sqm"
"For Sale Raw Land 8,634 sqm. ","Nasugbu, Batangas","₱ 1,042/sqm"
"For Sale Agricultural Farm 1,013 sqm. ","Lemery, Batangas","₱ 8,785/sqm"
"For Sale Agricultural Farm 41,000 sqm. ","Umingan, Pangasinan",₱ 170/sqm
"For Sale Agricultural Farm 101,943 sqm. ","Hinigaran, Negros Occidental",₱ 107/sqm
For Sale Agricultural Farm 130 sqm. ,"Alfonso, Cavite","₱ 12,000/sqm"
"For Sale Agricultural Farm 60,000 sqm. ","Maddela, Quirino",₱ 200/sqm
For Sale Agricultural Farm 200 sqm. ,"Borbon, Cebu","₱ 2,500/sqm"
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal","₱ 2,400/sqm"
"For Sale Agricultural Farm 15,000 sqm. ","Unisan, Quezon",₱ 113/sqm
For Sale Raw Land 200 sqm. ,"Jalajala, Rizal","₱ 2,000/sqm"
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal","₱ 2,500/sqm"
"For Sale Agricultural Farm 15,497 sqm. ","Alfonso, Cavite","₱ 2,903/sqm"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 4,750/sqm"
"For Sale Agricultural Farm 5,000,000 sqm. ","Lian, Batangas",₱ 70/sqm
For Sale Agricultural Farm 250 sqm. ,"Alfonso, Cavite","₱ 3,500/sqm"
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 2,500/sqm"
For Sale Residential Farm 200 sqm. ,"Alfonso, Cavite","₱ 5,000/sqm"
"For Sale Residential Farm 23,000 sqm. ","Nasugbu, Batangas",₱ 450/sqm
"For Sale Residential Farm 13,355 sqm. ","Tanauan, Batangas","₱ 1,098/sqm"
"For Sale Agricultural Farm 101,945 sqm. ","Hinigaran, Negros Occidental",₱ 117/sqm
For Sale Agricultural Farm 150 sqm. ,"Lubao, Pampanga","₱ 1,600/sqm"
For Sale Agricultural Farm 900 sqm. ,"Alfonso, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 99,000 sqm. ","Santa Catalina, Negros Oriental",₱ 60/sqm
For Sale Residential Farm 150 sqm. ,"Silang, Cavite","₱ 7,500/sqm"
For Sale Agricultural Farm 150 sqm. ,"Lubao, Pampanga","₱ 1,600/sqm"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite","₱ 4,000/sqm"
For Sale Residential Farm 150 sqm. ,"Silang, Cavite","₱ 7,500/sqm"
For Sale Residential Farm 100 sqm. ,"El Nido (Bacuit), Palawan","₱ 18,000/sqm"
"For Sale Residential Farm 20,119 sqm. ","Camiling, Tarlac",₱ 422/sqm
"For Sale Agricultural Farm 230,000 sqm. ","Mangatarem, Pangasinan",₱ 350/sqm
For Sale Raw Land 972 sqm. ,"Jalajala, Rizal","₱ 2,500/sqm"
"For Sale Agricultural Farm 24,038 sqm. ","Apalit, Pampanga",₱ 561/sqm
For Sale Agricultural Farm 300 sqm. ,"Pililla, Rizal","₱ 3,900/sqm"
"For Sale Agricultural Farm 270,000 sqm. ","Alaminos, Laguna","₱ 1,500/sqm"
For Sale Residential 750 sqm. ,"Calamba, Laguna","₱ 7,800/sqm"
"For Sale Residential Farm 1,000 sqm. ","Tuy, Batangas",₱ 850/sqm
For Sale Agricultural Farm 100 sqm. ,"Teresa, Rizal","₱ 4,400/sqm"
"For Sale Agricultural Farm 3,457 sqm. ","Bantayan, Cebu",₱ 274/sqm
"For Sale Residential Farm 1,500 sqm. ","Palauig, Zambales","₱ 4,333/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 4,000/sqm"
"For Sale Agricultural Farm 1,016,000 sqm. ","Infanta, Pangasinan",₱ 200/sqm
"For Sale Residential Farm 2,000 sqm. ","Jalajala, Rizal",₱ 200/sqm
"For Sale Agricultural Farm 6,000,000 sqm. ","Libmanan, Camarines Sur",₱ 35/sqm
"For Sale Agricultural Farm 4,108 sqm. ","Samal, Davao del Norte",₱ 365/sqm
For Sale Residential Farm 750 sqm. ,"Calamba, Laguna","₱ 6,800/sqm"
For Sale Agricultural Farm 80 sqm. ,"Morong, Rizal","₱ 3,850/sqm"
"For Sale Agricultural Farm 8,324 sqm. ","Samal, Davao del Norte",₱ 300/sqm
"For Sale Agricultural Farm 2,958 sqm. ","Samal, Davao del Norte","₱ 2,974/sqm"
"For Sale Agricultural Farm 95,000 sqm. ","Plaridel, Bulacan","₱ 8,000/sqm"
"For Sale Agricultural Farm 210,000 sqm. ","Roxas, Palawan",₱ 45/sqm
For Sale Agricultural Farm 650 sqm. ,"Norzagaray, Bulacan","₱ 1,200/sqm"
"For Sale Agricultural Farm 20,100 sqm. ","Floridablanca, Pampanga",₱ 731/sqm
"For Sale Agricultural Farm 100,000 sqm. ","Pandi, Bulacan","₱ 2,000/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Tanay, Rizal",₱ 700/sqm
For Sale Agricultural Farm 450 sqm. ,"Nasugbu, Batangas","₱ 1,140/sqm"
"For Sale Residential Farm 1,010 sqm. ","Nasugbu, Batangas","₱ 1,386/sqm"
"For Sale Agricultural Farm 5,913 sqm. ","Lipa, Batangas","₱ 1,000/sqm"
"For Sale Agricultural Farm 6,000,000 sqm. ","Libmanan, Camarines Sur",₱ 35/sqm
"For Sale Agricultural Farm 4,108 sqm. ","Samal, Davao del Norte",₱ 365/sqm
For Sale Residential Farm 750 sqm. ,"Calamba, Laguna","₱ 6,800/sqm"
"For Sale Agricultural Farm 48,351 sqm. ","Tagum, Davao del Norte",₱ 258/sqm
For Sale Residential Farm 100 sqm. ,"Teresa, Rizal","₱ 4,000/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 3,500/sqm"
For Sale Residential Farm 250 sqm. ,"Indang, Cavite","₱ 4,800/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Naic, Cavite","₱ 3,000/sqm"
"For Sale Residential Farm 10,000 sqm. ","Pandi, Bulacan","₱ 1,500/sqm"
"For Sale Agricultural Farm 220,000 sqm. ","Santa Maria, Bulacan","₱ 2,000/sqm"
"For Sale Residential Farm 150,000 sqm. ","Balayan, Batangas",₱ 800/sqm
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 3,200/sqm"
"For Sale Residential Farm 1,000 sqm. ","Nasugbu, Batangas","₱ 3,000/sqm"
"For Sale Agricultural Farm 45,080 sqm. ","Aloguinsan, Cebu",₱ 550/sqm
"For Sale Agricultural Farm 105,000 sqm. ","Naga, Camarines Sur",₱ 350/sqm
"For Sale Agricultural Farm 1,200 sqm. ","Tagaytay, Cavite","₱ 4,583/sqm"
"For Sale Agricultural Farm 4,451 sqm. ","Carmen, Davao del Norte","₱ 1,505/sqm"
"For Sale Agricultural Farm 5,000 sqm. ","Carmen, Davao del Norte",₱ 700/sqm
"For Sale Agricultural Farm 10,000 sqm. ","Tanay, Rizal","₱ 1,100/sqm"
For Sale Residential Farm 150 sqm. ,"Morong, Rizal","₱ 5,600/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,300/sqm"
For Sale Agricultural Farm 252 sqm. ,"Magallanes, Cavite","₱ 3,600/sqm"
For Sale Residential 130 sqm. ,"Silang, Cavite","₱ 12,000/sqm"
"For Sale Residential Farm 10,000 sqm. ","Lipa, Batangas","₱ 3,500/sqm"
"For Sale Agricultural Farm 2,726 sqm. ","Alfonso, Cavite","₱ 3,000/sqm"
"For Sale Agricultural Farm 26,000 sqm. ","Jalajala, Rizal",₱ 350/sqm
"For Sale Residential 20,000 sqm. ","Pililla, Rizal",₱ 50/sqm
"For Sale Residential Farm 27,815 sqm. ","Tigaon, Camarines Sur","₱ 1,500/sqm"
"For Sale Residential Farm 150,000 sqm. ","Balayan, Batangas",₱ 800/sqm
"For Sale Agricultural Farm 75,000 sqm. ","Palauig, Zambales",₱ 146/sqm
"For Sale Residential Farm 5,000 sqm. ","Jalajala, Rizal",₱ 700/sqm
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 3,000/sqm"
For Sale Agricultural Farm 250 sqm. ,"Alfonso, Cavite","₱ 3,500/sqm"
"For Sale Residential Farm 6,000 sqm. ","Jalajala, Rizal",₱ 800/sqm
For Sale Residential Farm 450 sqm. ,"Alfonso, Cavite","₱ 3,800/sqm"
For Sale Agricultural Farm 100 sqm. ,"San Juan, Batangas","₱ 7,000/sqm"
For Sale Residential Farm 468 sqm. ,"Nasugbu, Batangas","₱ 2,500/sqm"
For Sale Residential Farm 150 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
"For Sale Residential Farm 28,891 sqm. ","Coron, Palawan",₱ 69/sqm
"For Sale Agricultural Farm 27,815 sqm. ","Tigaon, Camarines Sur","₱ 1,500/sqm"
"For Sale Agricultural Farm 1,020 sqm. ","Tuy, Batangas","₱ 1,666/sqm"
"For Sale Residential Farm 5,000 sqm. ","Jalajala, Rizal",₱ 700/sqm
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 3,000/sqm"
For Sale Agricultural Farm 250 sqm. ,"Alfonso, Cavite","₱ 3,500/sqm"
"For Sale Residential Farm 17,000 sqm. ","Malasiqui, Pangasinan","₱ 2,352/sqm"
For Sale Residential Farm 450 sqm. ,"Alfonso, Cavite","₱ 3,800/sqm"
For Sale Agricultural Farm 100 sqm. ,"San Juan, Batangas","₱ 7,000/sqm"
"For Sale Commercial 83,000 sqm. ","Pililla, Rizal",₱ 900/sqm
For Sale Agricultural Farm 250 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 3,500/sqm"
"For Sale Others 10,000 sqm. ","Umingan, Pangasinan",₱ 250/sqm
"For Sale Residential Farm 28,891 sqm. ","Coron, Palawan",₱ 69/sqm
"For Sale Residential Farm 60,000 sqm. ","San Ildefonso, Bulacan",₱ 250/sqm
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 2,000/sqm"
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite","₱ 4,500/sqm"
"For Sale Residential Farm 15,000 sqm. ","Baliuag, Bulacan","₱ 2,000/sqm"
For Sale Residential Farm 500 sqm. ,"Lian, Batangas","₱ 1,500/sqm"
"For Sale Agricultural Farm 29,592 sqm. ","Porac, Pampanga","₱ 2,804/sqm"
For Sale Residential Farm 500 sqm. ,"Catigbian, Bohol","₱ 1,000/sqm"
"For Sale Agricultural Farm 80,000 sqm. ","Nasugbu, Batangas","₱ 1,050/sqm"
For Sale Residential Farm 500 sqm. ,"Tanay, Rizal","₱ 1,500/sqm"
"For Sale Agricultural Farm 17,772 sqm. ","San Jose, Batangas","₱ 1,519/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,500/sqm"
"For Sale Residential Farm 10,000 sqm. ","San Jose del Monte, Bulacan","₱ 1,300/sqm"
"For Sale Agricultural Farm 8,691 sqm. ","Jalajala, Rizal","₱ 1,300/sqm"
"For Sale Agricultural Farm 130,000 sqm. ","San Jose del Monte, Bulacan",₱ 500/sqm
"For Sale Agricultural Farm 60,000 sqm. ","Pandi, Bulacan","₱ 2,700/sqm"
"For Sale Agricultural Farm 10,300 sqm. ","Villasis, Pangasinan","₱ 1,000/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Baras, Rizal","₱ 1,500/sqm"
For Sale Agricultural Farm 350 sqm. ,"Magallanes, Cavite","₱ 3,500/sqm"
For Sale Residential Farm 469 sqm. ,"Tagaytay, Cavite","₱ 6,500/sqm"
"For Sale Agro-Industrial Farm 30,000 sqm. ","Malasiqui, Pangasinan","₱ 1,566/sqm"
"For Sale Residential Farm 3,830 sqm. ","Gingoog, Misamis Oriental",₱ 704/sqm
"For Sale Residential Farm 15,000 sqm. ","Baliuag, Bulacan","₱ 2,000/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 4,000/sqm"
"For Sale Agricultural Farm 46,026 sqm. ","Davao City, Davao del Sur",₱ 130/sqm
"For Sale Residential Farm 10,000 sqm. ","San Juan, Batangas",₱ 785/sqm
"For Sale Residential Farm 1,053 sqm. ","Indang, Cavite","₱ 3,000/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,500/sqm"
For Sale Residential Farm 300 sqm. ,"Jalajala, Rizal","₱ 1,800/sqm"
"For Sale Agricultural Farm 28,000 sqm. ","Magdalena, Laguna",₱ 400/sqm
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 3,500/sqm"
For Sale Agricultural Farm 500 sqm. ,"Tanay, Rizal","₱ 2,500/sqm"
For Sale Residential Farm 185 sqm. ,"Tanay, Rizal","₱ 3,513/sqm"
For Sale Residential Farm 250 sqm. ,"Alfonso, Cavite","₱ 3,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Rosario, Batangas",₱ 300/sqm
"For Sale Agricultural Farm 74,000 sqm. ","Bolinao, Pangasinan",₱ 300/sqm
"For Sale Residential Farm 3,830 sqm. ","Gingoog, Misamis Oriental",₱ 704/sqm
"For Sale Agricultural Farm 74,000 sqm. ","Bolinao, Pangasinan",₱ 300/sqm
For Sale Residential Farm 100 sqm. ,"Doña Remedios Trinidad, Bulacan","₱ 3,000/sqm"
"For Sale Residential Farm 60,500 sqm. ","Clark, Bamban, Tarlac","₱ 1,000/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,300/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 4,000/sqm"
For Sale Residential Farm 579 sqm. ,"Tiaong, Quezon","₱ 10,211/sqm"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 3,500/sqm"
For Sale Residential 100 sqm. ,"Pililla, Rizal","₱ 5,798/sqm"
"For Sale Residential Farm 1,053 sqm. ","Indang, Cavite","₱ 3,000/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Rosario, Batangas",₱ 300/sqm
"For Sale Others 3,805 sqm. ","Lucena, Quezon","₱ 1,300/sqm"
"For Sale Agricultural Farm 105,000 sqm. ","Candelaria, Zambales",₱ 350/sqm
"For Sale Agricultural Farm 13,000 sqm. ","Bugallon, Pangasinan",₱ 150/sqm
For Sale Residential Farm 500 sqm. ,"General Emilio Aguinaldo, Cavite","₱ 3,500/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 2,600/sqm"
"For Sale Residential Farm 1,000 sqm. ","Quezon, Quezon",₱ 950/sqm
For Sale Agricultural Farm 406 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
For Sale Residential Farm 200 sqm. ,"Lian, Batangas","₱ 7,500/sqm"
For Sale Residential 150 sqm. ,"Amadeo, Cavite","₱ 3,500/sqm"
For Sale Others 100 sqm. ,"Mabini, Batangas","₱ 12,000/sqm"
"For Sale Agricultural Farm 11,159 sqm. ","Sariaya, Quezon",₱ 600/sqm
"For Sale Agricultural Farm 13,000 sqm. ","Jalajala, Rizal","₱ 1,153/sqm"
For Sale Residential 805 sqm. ,"Angono, Rizal","₱ 15,000/sqm"
"For Sale Agricultural Farm 65,110 sqm. ","Tiaong, Quezon",₱ 844/sqm
"For Sale Agricultural Farm 13,403 sqm. ","Tanauan, Batangas","₱ 1,300/sqm"
For Sale Residential Farm 500 sqm. ,"Tiaong, Quezon","₱ 9,000/sqm"
"For Sale Residential Farm 1,000 sqm. ","Amadeo, Cavite","₱ 3,200/sqm"
"For Sale Agricultural Farm 7,000 sqm. ","Morong, Rizal","₱ 6,000/sqm"
"For Sale Agricultural Farm 11,399 sqm. ","Cardona, Rizal","₱ 4,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Bugallon, Pangasinan",₱ 140/sqm
"For Sale Residential Farm 9,017 sqm. ","Coron, Palawan","₱ 4,990/sqm"
For Sale Residential Farm 673 sqm. ,"Pililla, Rizal","₱ 2,000/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 6,000/sqm"
For Sale Residential Farm 500 sqm. ,"San Antonio, Quezon","₱ 1,500/sqm"
"For Sale Residential Farm 28,440 sqm. ","San Pablo, Laguna","₱ 1,600/sqm"
"For Sale Raw Land 1,000 sqm. ","Jalajala, Rizal","₱ 1,300/sqm"
For Sale Residential Farm 207 sqm. ,"Silang, Cavite","₱ 5,797/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",₱ 950/sqm
"For Sale Agricultural Farm 43,000 sqm. ","Umingan, Pangasinan",₱ 200/sqm
"For Sale Agricultural Farm 43,731 sqm. ","Dolores, Quezon","₱ 4,573/sqm"
"For Sale Agro-Industrial Farm 18,590 sqm. ","Villasis, Pangasinan","₱ 1,798/sqm"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite","₱ 3,180/sqm"
