,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,HoursWorkedPerWeek,EmploymentSector,SalaryUSD
228,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,120000.0
229,United States,Microsoft SQL Server,12,Full time employee,Developer,40,Private business,120000.0
230,India,Microsoft SQL Server,3,Full time employee,DBA,8,Private business,12900.0
231,United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,90000.0
232,United States,Oracle,8,Full time employee,Architect,50,Private business,118000.0
233,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,96000.0
234,United States,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,67000.0
235,United States,Azure SQL DB,9,Full time employee,DBA,40,Private business,110000.0
236,India,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,10000.0
237,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,80000.0
238,United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,110000.0
239,United States,Oracle,3,Full time employee,Analyst,40,Government,53000.0
240,Russia,Microsoft SQL Server,10,Full time employee,DBA,40,Government,8300.0
241,United States,Microsoft SQL Server,10,Full time employee,DBA,80,Private business,123300.0
242,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,180000.0
243,United States,Microsoft SQL Server,10,Full time employee,Architect,45,Private business,130000.0
244,United States,Microsoft SQL Server,3,Full time employee,DBA,40,Private business,95000.0
245,United States,Microsoft SQL Server,12,Full time employee,Developer,40,Private business,113000.0
246,United States,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,50750.0
247,United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,80000.0
248,United States,Microsoft SQL Server,7,Full time employee,DBA,46,Private business,97500.0
249,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Government,115000.0
250,United States,Microsoft SQL Server,7,Full time employee,DBA,60,Private business,90000.0
251,United States,Microsoft SQL Server,3,Full time employee,DBA,50,Private business,91800.0
252,United States,Microsoft SQL Server,8,Full time employee,Developer,43,Private business,93000.0
253,United States,Microsoft SQL Server,9,Independent,Architect,60,Private business,225000.0
254,United States,Microsoft SQL Server,18,Full time employee,DBA,55,Private business,94000.0
255,United States,Microsoft SQL Server,2,Full time employee,DBA,40,Private business,65000.0
256,United States,Microsoft SQL Server,15,Full time employee,Developer,40,Private business,90000.0
257,United States,Microsoft SQL Server,10,Full time employee,Engineer,40,Private business,105000.0
258,United States,Microsoft SQL Server,15,Full time employee,Developer,40,Private business,83599.0
259,United States,Microsoft SQL Server,3,Full time employee,Developer,50,Private business,70000.0
260,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,92000.0
261,United States,Microsoft SQL Server,10,Full time employee,Developer,45,Private business,119000.0
262,United States,Microsoft SQL Server,11,Full time employee,Architect,40,Private business,120792.0
263,France,Microsoft SQL Server,2,Full time employee,Developer,40,Private business,35000.0
264,United States,Microsoft SQL Server,5,Full time employee,DBA,35,Private business,145000.0
265,United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,62000.0
266,United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,112000.0
267,United States,Microsoft SQL Server,21,Full time employee,DBA,55,Private business,133900.0
268,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,100282.0
269,United States,Microsoft SQL Server,17,Full time employee,DBA,45,Private business,125000.0
270,United States,Microsoft SQL Server,17,Full time employee,DBA,37,Private business,160000.0
271,United States,Microsoft SQL Server,5,Full time employee,Developer,40,Private business,93800.0
272,United States,Microsoft SQL Server,11,Full time employee,DBA,37,Government,89035.0
273,United States,Microsoft SQL Server,7,Full time employee,DBA,50,Private business,90000.0
274,United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,116000.0
275,United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,158000.0
276,Canada,Microsoft SQL Server,16,Independent,Developer,60,Private business,110000.0
277,United States,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,60900.0
278,United States,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,93500.0
279,United States,Microsoft SQL Server,25,Full time employee,DBA,45,Private business,145000.0
280,Ireland,Microsoft SQL Server,3,Full time employee,Analyst,39,Private business,52970.0
281,United States,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,116000.0
282,United States,Microsoft SQL Server,16,Full time employee,Developer,40,Private business,95000.0
283,Canada,Microsoft SQL Server,22,Full time employee,DBA,45,Private business,100000.0
284,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,90000.0
285,United States,Microsoft SQL Server,16,Full time employee,Analyst,40,Private business,125000.0
286,United States,Azure SQL DB,1,Full time employee,Developer,45,Private business,65000.0
287,United States,Microsoft SQL Server,9,Full time employee,DBA,46,Private business,70000.0
288,United States,Microsoft SQL Server,20,Full time employee,Developer,40,Private business,270000.0
289,United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,130000.0
290,United States,Microsoft SQL Server,3,Full time employee,Developer,43,Private business,64775.0
291,United States,Microsoft SQL Server,14,Independent,Engineer,50,Private business,300000.0
292,United States,Microsoft SQL Server,7,Full time employee,Engineer,45,Private business,93000.0
293,United Kingdom,Microsoft SQL Server,10,Full time employee,Architect,45,Private business,105000.0
294,United States,Microsoft SQL Server,18,Full time employee,DBA,45,Private business,84000.0
295,United States,Microsoft SQL Server,20,Full time employee,Developer,40,Private business,108000.0
296,United States,Microsoft SQL Server,18,Full time employee,Architect,45,Private business,135000.0
297,United States,Microsoft SQL Server,10,Full time employee,Manager,60,Private business,116000.0
298,United States,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,104000.0
299,United States,Microsoft SQL Server,9,Full time employee,Architect,40,Private business,125000.0
300,United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,125000.0
301,United States,Microsoft SQL Server,10,Full time employee,Developer,45,Private business,100000.0
302,United States,Oracle,25,Full time employee,DBA,40,Government,107000.0
303,United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,138000.0
304,United States,Microsoft SQL Server,14,Full time employee,Manager,45,Private business,135000.0
305,United Kingdom,Microsoft SQL Server,22,Full time employee,DBA,40,Private business,59000.0
306,United States,Microsoft SQL Server,21,Full time employee,DBA,42,Private business,102000.0
307,United States,Microsoft SQL Server,6,Full time employee,DBA,50,Private business,117000.0
308,United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,110000.0
309,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,100000.0
310,United States,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,118500.0
311,United States,Microsoft SQL Server,20,Full time employee,Architect,55,Private business,113300.0
312,United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,123634.0
313,United States,Microsoft SQL Server,15,Full time employee,Engineer,40,Private business,102000.0
314,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,95000.0
315,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,165000.0
316,United States,Microsoft SQL Server,10,Full time employee,DBA,50,Government,96108.0
317,United States,Microsoft SQL Server,6,Full time employee,Analyst,40,Private business,95000.0
318,United States,Microsoft SQL Server,11,Full time employee,DBA,42,Private business,81000.0
319,United States,Microsoft SQL Server,15,Full time employee,Developer,50,Private business,73000.0
320,United Kingdom,Microsoft SQL Server,11,Full time employee,DBA,40,Private business,55800.0
321,United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,115000.0
322,United States,Microsoft SQL Server,20,Full time employee,DBA,42,Private business,142000.0
323,United Kingdom,Microsoft SQL Server,4,Full time employee,Architect,35,Private business,55845.0
324,United States,Microsoft SQL Server,20,Full time employee,Developer,35,Private business,100000.0
325,United States,Microsoft SQL Server,17,Full time employee,Architect,40,Private business,145000.0
326,United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,40000.0
327,United States,Microsoft SQL Server,3,Full time employee,DBA,50,Private business,110000.0
328,United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,117000.0
329,United States,Microsoft SQL Server,20,Full time employee,DBA,45,Private business,147000.0
330,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Government,109000.0
331,United States,Microsoft SQL Server,12,Full time employee,DBA,45,Private business,110000.0
332,United States,Microsoft SQL Server,17,Full time employee,DBA,35,Private business,110000.0
333,United Kingdom,Microsoft SQL Server,8,Full time employee,Developer,45,Private business,62000.0
334,United States,Microsoft SQL Server,14,Independent,Architect,40,Private business,124800.0
335,United States,Microsoft SQL Server,8,Full time employee,DBA,40,Government,71594.0
336,United States,Microsoft SQL Server,11,Full time employee,Developer,75,Private business,200000.0
337,United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,70400.0
338,United States,Microsoft SQL Server,10,Full time employee,Developer,50,Private business,125000.0
339,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,85000.0
340,United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,98000.0
341,United States,Microsoft SQL Server,7,Full time employee,Engineer,45,Private business,132000.0
342,United States,Microsoft SQL Server,17,Full time employee,DBA,45,Private business,110000.0
343,United States,Microsoft SQL Server,19,Full time employee,DBA,40,Private business,155000.0
344,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,113000.0
345,United States,Microsoft SQL Server,6,Full time employee,Developer,40,Private business,47240.0
346,Brazil,Microsoft SQL Server,8,Full time employee,DBA,60,Private business,29000.0
347,United States,Microsoft SQL Server,4,Full time employee,Developer,50,Private business,65000.0
348,United States,Microsoft SQL Server,17,Full time employee,DBA,50,Private business,153000.0
349,United States,Microsoft SQL Server,12,Full time employee,DBA,50,Private business,116000.0
350,United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,135000.0
351,United States,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,122000.0
